UserKNNCB
|iter   314/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.7000|e: 0.3000|MAP: 0.0559|
|iter   330/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.7500|e: 0.0000|MAP: 0.0557|
|iter   331/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.7500|e: 0.0500|MAP: 0.0558|
|iter   332/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.7500|e: 0.1000|MAP: 0.0558|
|iter   333/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.7500|e: 0.1500|MAP: 0.0558|
|iter   334/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.7500|e: 0.2000|MAP: 0.0556|
|iter   335/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.7500|e: 0.2500|MAP: 0.0552|
|iter   352/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.8000|e: 0.0000|MAP: 0.0553|
|iter   353/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.8000|e: 0.0500|MAP: 0.0556|
|iter   354/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.8000|e: 0.1000|MAP: 0.0557|
|iter   355/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.8000|e: 0.1500|MAP: 0.0551|
|iter   356/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.8000|e: 0.2000|MAP: 0.0546|
|iter   374/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.8500|e: 0.0000|MAP: 0.0549|
|iter   375/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.8500|e: 0.0500|MAP: 0.0551|
|iter   376/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.8500|e: 0.1000|MAP: 0.0549|
|iter   377/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.8500|e: 0.1500|MAP: 0.0543|
