(25975, 19908)
|RP3beta| iter:    93/160 | topk: 390 | alpha: 0.350 | beta: 0.040 | avgMAP: 0.0708 |
|RP3beta| iter:    94/160 | topk: 390 | alpha: 0.400 | beta: 0.040 | avgMAP: 0.0704 |
|RP3beta| iter:    95/160 | topk: 390 | alpha: 0.450 | beta: 0.040 | avgMAP: 0.0696 |
|RP3beta| iter:    96/160 | topk: 250 | alpha: 0.300 | beta: 0.060 | avgMAP: 0.0709 |
|RP3beta| iter:    97/160 | topk: 250 | alpha: 0.350 | beta: 0.060 | avgMAP: 0.0711 |
|RP3beta| iter:    98/160 | topk: 250 | alpha: 0.400 | beta: 0.060 | avgMAP: 0.0705 |
|RP3beta| iter:    99/160 | topk: 250 | alpha: 0.450 | beta: 0.060 | avgMAP: 0.0697 |
|RP3beta| iter:   100/160 | topk: 270 | alpha: 0.300 | beta: 0.060 | avgMAP: 0.0710 |
|RP3beta| iter:   101/160 | topk: 270 | alpha: 0.350 | beta: 0.060 | avgMAP: 0.0710 |
|RP3beta| iter:   102/160 | topk: 270 | alpha: 0.400 | beta: 0.060 | avgMAP: 0.0705 |
|RP3beta| iter:   103/160 | topk: 270 | alpha: 0.450 | beta: 0.060 | avgMAP: 0.0697 |
|RP3beta| iter:   104/160 | topk: 290 | alpha: 0.300 | beta: 0.060 | avgMAP: 0.0709 |
|RP3beta| iter:   105/160 | topk: 290 | alpha: 0.350 | beta: 0.060 | avgMAP: 0.0710 |
|RP3beta| iter:   106/160 | topk: 290 | alpha: 0.400 | beta: 0.060 | avgMAP: 0.0705 |
|RP3beta| iter:   107/160 | topk: 290 | alpha: 0.450 | beta: 0.060 | avgMAP: 0.0697 |
|RP3beta| iter:   108/160 | topk: 310 | alpha: 0.300 | beta: 0.060 | avgMAP: 0.0710 |
|RP3beta| iter:   109/160 | topk: 310 | alpha: 0.350 | beta: 0.060 | avgMAP: 0.0710 |
|RP3beta| iter:   110/160 | topk: 310 | alpha: 0.400 | beta: 0.060 | avgMAP: 0.0706 |
|RP3beta| iter:   111/160 | topk: 310 | alpha: 0.450 | beta: 0.060 | avgMAP: 0.0698 |
|RP3beta| iter:   112/160 | topk: 330 | alpha: 0.300 | beta: 0.060 | avgMAP: 0.0709 |
|RP3beta| iter:   113/160 | topk: 330 | alpha: 0.350 | beta: 0.060 | avgMAP: 0.0710 |
|RP3beta| iter:   114/160 | topk: 330 | alpha: 0.400 | beta: 0.060 | avgMAP: 0.0706 |
|RP3beta| iter:   115/160 | topk: 330 | alpha: 0.450 | beta: 0.060 | avgMAP: 0.0698 |
|RP3beta| iter:   116/160 | topk: 350 | alpha: 0.300 | beta: 0.060 | avgMAP: 0.0709 |
|RP3beta| iter:   117/160 | topk: 350 | alpha: 0.350 | beta: 0.060 | avgMAP: 0.0711 |
|RP3beta| iter:   118/160 | topk: 350 | alpha: 0.400 | beta: 0.060 | avgMAP: 0.0706 |
|RP3beta| iter:   119/160 | topk: 350 | alpha: 0.450 | beta: 0.060 | avgMAP: 0.0698 |
|RP3beta| iter:   120/160 | topk: 370 | alpha: 0.300 | beta: 0.060 | avgMAP: 0.0709 |
|RP3beta| iter:   121/160 | topk: 370 | alpha: 0.350 | beta: 0.060 | avgMAP: 0.0711 |
|RP3beta| iter:   122/160 | topk: 370 | alpha: 0.400 | beta: 0.060 | avgMAP: 0.0706 |
|RP3beta| iter:   123/160 | topk: 370 | alpha: 0.450 | beta: 0.060 | avgMAP: 0.0698 |
|RP3beta| iter:   124/160 | topk: 390 | alpha: 0.300 | beta: 0.060 | avgMAP: 0.0709 |
|RP3beta| iter:   125/160 | topk: 390 | alpha: 0.350 | beta: 0.060 | avgMAP: 0.0711 |
|RP3beta| iter:   126/160 | topk: 390 | alpha: 0.400 | beta: 0.060 | avgMAP: 0.0706 |
|RP3beta| iter:   127/160 | topk: 390 | alpha: 0.450 | beta: 0.060 | avgMAP: 0.0698 |
|RP3beta| iter:   128/160 | topk: 250 | alpha: 0.300 | beta: 0.080 | avgMAP: 0.0712 |
|RP3beta| iter:   129/160 | topk: 250 | alpha: 0.350 | beta: 0.080 | avgMAP: 0.0714 |
|RP3beta| iter:   130/160 | topk: 250 | alpha: 0.400 | beta: 0.080 | avgMAP: 0.0708 |
|RP3beta| iter:   131/160 | topk: 250 | alpha: 0.450 | beta: 0.080 | avgMAP: 0.0698 |
|RP3beta| iter:   132/160 | topk: 270 | alpha: 0.300 | beta: 0.080 | avgMAP: 0.0713 |
|RP3beta| iter:   133/160 | topk: 270 | alpha: 0.350 | beta: 0.080 | avgMAP: 0.0714 |
|RP3beta| iter:   134/160 | topk: 270 | alpha: 0.400 | beta: 0.080 | avgMAP: 0.0708 |
|RP3beta| iter:   135/160 | topk: 270 | alpha: 0.450 | beta: 0.080 | avgMAP: 0.0699 |
|RP3beta| iter:   136/160 | topk: 290 | alpha: 0.300 | beta: 0.080 | avgMAP: 0.0713 |
|RP3beta| iter:   137/160 | topk: 290 | alpha: 0.350 | beta: 0.080 | avgMAP: 0.0714 |
|RP3beta| iter:   138/160 | topk: 290 | alpha: 0.400 | beta: 0.080 | avgMAP: 0.0709 |
|RP3beta| iter:   139/160 | topk: 290 | alpha: 0.450 | beta: 0.080 | avgMAP: 0.0699 |
|RP3beta| iter:   140/160 | topk: 310 | alpha: 0.300 | beta: 0.080 | avgMAP: 0.0714 |
|RP3beta| iter:   141/160 | topk: 310 | alpha: 0.350 | beta: 0.080 | avgMAP: 0.0714 |
|RP3beta| iter:   142/160 | topk: 310 | alpha: 0.400 | beta: 0.080 | avgMAP: 0.0708 |
|RP3beta| iter:   143/160 | topk: 310 | alpha: 0.450 | beta: 0.080 | avgMAP: 0.0698 |
|RP3beta| iter:   144/160 | topk: 330 | alpha: 0.300 | beta: 0.080 | avgMAP: 0.0714 |
|RP3beta| iter:   145/160 | topk: 330 | alpha: 0.350 | beta: 0.080 | avgMAP: 0.0714 |
|RP3beta| iter:   146/160 | topk: 330 | alpha: 0.400 | beta: 0.080 | avgMAP: 0.0708 |
|RP3beta| iter:   147/160 | topk: 330 | alpha: 0.450 | beta: 0.080 | avgMAP: 0.0699 |
|RP3beta| iter:   148/160 | topk: 350 | alpha: 0.300 | beta: 0.080 | avgMAP: 0.0712 |
|RP3beta| iter:   149/160 | topk: 350 | alpha: 0.350 | beta: 0.080 | avgMAP: 0.0714 |
|RP3beta| iter:   150/160 | topk: 350 | alpha: 0.400 | beta: 0.080 | avgMAP: 0.0708 |
|RP3beta| iter:   151/160 | topk: 350 | alpha: 0.450 | beta: 0.080 | avgMAP: 0.0699 |
|RP3beta| iter:   152/160 | topk: 370 | alpha: 0.300 | beta: 0.080 | avgMAP: 0.0713 |
|RP3beta| iter:   153/160 | topk: 370 | alpha: 0.350 | beta: 0.080 | avgMAP: 0.0714 |
|RP3beta| iter:   154/160 | topk: 370 | alpha: 0.400 | beta: 0.080 | avgMAP: 0.0708 |
|RP3beta| iter:   155/160 | topk: 370 | alpha: 0.450 | beta: 0.080 | avgMAP: 0.0700 |
|RP3beta| iter:   156/160 | topk: 390 | alpha: 0.300 | beta: 0.080 | avgMAP: 0.0712 |
|RP3beta| iter:   157/160 | topk: 390 | alpha: 0.350 | beta: 0.080 | avgMAP: 0.0714 |
|RP3beta| iter:   158/160 | topk: 390 | alpha: 0.400 | beta: 0.080 | avgMAP: 0.0708 |
|RP3beta| iter:   159/160 | topk: 390 | alpha: 0.450 | beta: 0.080 | avgMAP: 0.0699 |
|RP3beta| best results | topk: 310 | alpha: 0.350 | beta: 0.080 | avgMAP: 0.0714 |
