|UserKNNCF| iter:   206/234 | topk: 210 | shrink: 200 | sim type: jaccard | avgMAP: 0.0567 |
|UserKNNCF| iter:   207/234 | topk: 210 | shrink: 250 | sim type: jaccard | avgMAP: 0.0567 |
|UserKNNCF| iter:   208/234 | topk: 210 | shrink: 300 | sim type: jaccard | avgMAP: 0.0568 |
|UserKNNCF| iter:   209/234 | topk: 210 | shrink: 350 | sim type: jaccard | avgMAP: 0.0568 |
|UserKNNCF| iter:   210/234 | topk: 230 | shrink: 100 | sim type: jaccard | avgMAP: 0.0564 |
|UserKNNCF| iter:   211/234 | topk: 230 | shrink: 150 | sim type: jaccard | avgMAP: 0.0565 |
|UserKNNCF| iter:   212/234 | topk: 230 | shrink: 200 | sim type: jaccard | avgMAP: 0.0566 |
|UserKNNCF| iter:   213/234 | topk: 230 | shrink: 250 | sim type: jaccard | avgMAP: 0.0566 |
|UserKNNCF| iter:   214/234 | topk: 230 | shrink: 300 | sim type: jaccard | avgMAP: 0.0566 |
|UserKNNCF| iter:   215/234 | topk: 230 | shrink: 350 | sim type: jaccard | avgMAP: 0.0566 |
|UserKNNCF| iter:   216/234 | topk: 250 | shrink: 100 | sim type: jaccard | avgMAP: 0.0563 |
|UserKNNCF| iter:   217/234 | topk: 250 | shrink: 150 | sim type: jaccard | avgMAP: 0.0563 |
|UserKNNCF| iter:   218/234 | topk: 250 | shrink: 200 | sim type: jaccard | avgMAP: 0.0565 |
|UserKNNCF| iter:   219/234 | topk: 250 | shrink: 250 | sim type: jaccard | avgMAP: 0.0564 |
|UserKNNCF| iter:   220/234 | topk: 250 | shrink: 300 | sim type: jaccard | avgMAP: 0.0565 |
|UserKNNCF| iter:   221/234 | topk: 250 | shrink: 350 | sim type: jaccard | avgMAP: 0.0565 |
|UserKNNCF| iter:   222/234 | topk: 270 | shrink: 100 | sim type: jaccard | avgMAP: 0.0562 |
|UserKNNCF| iter:   223/234 | topk: 270 | shrink: 150 | sim type: jaccard | avgMAP: 0.0562 |
|UserKNNCF| iter:   224/234 | topk: 270 | shrink: 200 | sim type: jaccard | avgMAP: 0.0564 |
|UserKNNCF| iter:   225/234 | topk: 270 | shrink: 250 | sim type: jaccard | avgMAP: 0.0563 |
|UserKNNCF| iter:   226/234 | topk: 270 | shrink: 300 | sim type: jaccard | avgMAP: 0.0564 |
|UserKNNCF| iter:   227/234 | topk: 270 | shrink: 350 | sim type: jaccard | avgMAP: 0.0564 |
|UserKNNCF| iter:   228/234 | topk: 290 | shrink: 100 | sim type: jaccard | avgMAP: 0.0561 |
|UserKNNCF| iter:   229/234 | topk: 290 | shrink: 150 | sim type: jaccard | avgMAP: 0.0562 |
|UserKNNCF| iter:   230/234 | topk: 290 | shrink: 200 | sim type: jaccard | avgMAP: 0.0563 |
|UserKNNCF| iter:   231/234 | topk: 290 | shrink: 250 | sim type: jaccard | avgMAP: 0.0563 |
|UserKNNCF| iter:   232/234 | topk: 290 | shrink: 300 | sim type: jaccard | avgMAP: 0.0563 |
|UserKNNCF| iter:   233/234 | topk: 290 | shrink: 350 | sim type: jaccard | avgMAP: 0.0563 |
|UserKNNCF| best results | topk: 110 | shrink: 350 | sim type: cosine | MAP: 0.0571 |
