| iter:   135/960 | topk: 220 | alpha: 0.600 | norm: l2 | MAP: 0.0601 |
| iter:   136/960 | topk: 220 | alpha: 0.600 | norm: l1 | MAP: 0.0588 |
| iter:   137/960 | topk: 220 | alpha: 0.600 | norm: max | MAP: 0.0595 |
| iter:   138/960 | topk: 220 | alpha: 0.620 | norm: l2 | MAP: 0.0603 |
| iter:   139/960 | topk: 220 | alpha: 0.620 | norm: l1 | MAP: 0.0590 |
| iter:   140/960 | topk: 220 | alpha: 0.620 | norm: max | MAP: 0.0598 |
| iter:   141/960 | topk: 220 | alpha: 0.640 | norm: l2 | MAP: 0.0602 |
| iter:   142/960 | topk: 220 | alpha: 0.640 | norm: l1 | MAP: 0.0589 |
| iter:   143/960 | topk: 220 | alpha: 0.640 | norm: max | MAP: 0.0598 |
| iter:   144/960 | topk: 220 | alpha: 0.660 | norm: l2 | MAP: 0.0600 |
| iter:   145/960 | topk: 220 | alpha: 0.660 | norm: l1 | MAP: 0.0591 |
| iter:   146/960 | topk: 220 | alpha: 0.660 | norm: max | MAP: 0.0597 |
| iter:   147/960 | topk: 220 | alpha: 0.680 | norm: l2 | MAP: 0.0603 |
| iter:   148/960 | topk: 220 | alpha: 0.680 | norm: l1 | MAP: 0.0590 |
| iter:   149/960 | topk: 220 | alpha: 0.680 | norm: max | MAP: 0.0596 |
| iter:   150/960 | topk: 230 | alpha: 0.500 | norm: l2 | MAP: 0.0591 |
| iter:   151/960 | topk: 230 | alpha: 0.500 | norm: l1 | MAP: 0.0582 |
| iter:   152/960 | topk: 230 | alpha: 0.500 | norm: max | MAP: 0.0588 |
| iter:   153/960 | topk: 230 | alpha: 0.520 | norm: l2 | MAP: 0.0595 |
| iter:   154/960 | topk: 230 | alpha: 0.520 | norm: l1 | MAP: 0.0584 |
| iter:   155/960 | topk: 230 | alpha: 0.520 | norm: max | MAP: 0.0591 |
| iter:   156/960 | topk: 230 | alpha: 0.540 | norm: l2 | MAP: 0.0598 |
| iter:   157/960 | topk: 230 | alpha: 0.540 | norm: l1 | MAP: 0.0585 |
| iter:   158/960 | topk: 230 | alpha: 0.540 | norm: max | MAP: 0.0592 |
| iter:   159/960 | topk: 230 | alpha: 0.560 | norm: l2 | MAP: 0.0600 |
| iter:   160/960 | topk: 230 | alpha: 0.560 | norm: l1 | MAP: 0.0587 |
| iter:   161/960 | topk: 230 | alpha: 0.560 | norm: max | MAP: 0.0593 |
| iter:   162/960 | topk: 230 | alpha: 0.580 | norm: l2 | MAP: 0.0600 |
| iter:   163/960 | topk: 230 | alpha: 0.580 | norm: l1 | MAP: 0.0587 |
| iter:   164/960 | topk: 230 | alpha: 0.580 | norm: max | MAP: 0.0593 |
| iter:   165/960 | topk: 230 | alpha: 0.600 | norm: l2 | MAP: 0.0600 |
| iter:   166/960 | topk: 230 | alpha: 0.600 | norm: l1 | MAP: 0.0588 |
| iter:   167/960 | topk: 230 | alpha: 0.600 | norm: max | MAP: 0.0595 |
| iter:   168/960 | topk: 230 | alpha: 0.620 | norm: l2 | MAP: 0.0603 |
| iter:   169/960 | topk: 230 | alpha: 0.620 | norm: l1 | MAP: 0.0590 |
| iter:   170/960 | topk: 230 | alpha: 0.620 | norm: max | MAP: 0.0598 |
| iter:   171/960 | topk: 230 | alpha: 0.640 | norm: l2 | MAP: 0.0603 |
| iter:   172/960 | topk: 230 | alpha: 0.640 | norm: l1 | MAP: 0.0590 |
| iter:   173/960 | topk: 230 | alpha: 0.640 | norm: max | MAP: 0.0599 |
| iter:   174/960 | topk: 230 | alpha: 0.660 | norm: l2 | MAP: 0.0600 |
| iter:   175/960 | topk: 230 | alpha: 0.660 | norm: l1 | MAP: 0.0592 |
| iter:   176/960 | topk: 230 | alpha: 0.660 | norm: max | MAP: 0.0597 |
| iter:   177/960 | topk: 230 | alpha: 0.680 | norm: l2 | MAP: 0.0603 |
| iter:   178/960 | topk: 230 | alpha: 0.680 | norm: l1 | MAP: 0.0591 |
| iter:   179/960 | topk: 230 | alpha: 0.680 | norm: max | MAP: 0.0597 |
