| iter: 274/570 | topk: 180 | shrink: 80 | sim type: 'cosine' | MAP: 0.0276 |
| iter: 275/570 | topk: 180 | shrink: 100 | sim type: 'cosine' | MAP: 0.0271 |
| iter: 276/570 | topk: 180 | shrink: 120 | sim type: 'cosine' | MAP: 0.0267 |
| iter: 277/570 | topk: 180 | shrink: 140 | sim type: 'cosine' | MAP: 0.0264 |
| iter: 278/570 | topk: 180 | shrink: 160 | sim type: 'cosine' | MAP: 0.0263 |
| iter: 279/570 | topk: 180 | shrink: 180 | sim type: 'cosine' | MAP: 0.0262 |
| iter: 280/570 | topk: 200 | shrink: 0 | sim type: 'cosine' | MAP: 0.0265 |
| iter: 281/570 | topk: 200 | shrink: 20 | sim type: 'cosine' | MAP: 0.0303 |
| iter: 282/570 | topk: 200 | shrink: 40 | sim type: 'cosine' | MAP: 0.0288 |
| iter: 283/570 | topk: 200 | shrink: 60 | sim type: 'cosine' | MAP: 0.0283 |
| iter: 284/570 | topk: 200 | shrink: 80 | sim type: 'cosine' | MAP: 0.0277 |
| iter: 285/570 | topk: 200 | shrink: 100 | sim type: 'cosine' | MAP: 0.0272 |
| iter: 286/570 | topk: 200 | shrink: 120 | sim type: 'cosine' | MAP: 0.0268 |
| iter: 287/570 | topk: 200 | shrink: 140 | sim type: 'cosine' | MAP: 0.0264 |
| iter: 288/570 | topk: 200 | shrink: 160 | sim type: 'cosine' | MAP: 0.0263 |
| iter: 289/570 | topk: 200 | shrink: 180 | sim type: 'cosine' | MAP: 0.0261 |
| iter: 290/570 | topk: 220 | shrink: 0 | sim type: 'cosine' | MAP: 0.0263 |
| iter: 291/570 | topk: 220 | shrink: 20 | sim type: 'cosine' | MAP: 0.0305 |
| iter: 292/570 | topk: 220 | shrink: 40 | sim type: 'cosine' | MAP: 0.0286 |
| iter: 293/570 | topk: 220 | shrink: 60 | sim type: 'cosine' | MAP: 0.0282 |
| iter: 294/570 | topk: 220 | shrink: 80 | sim type: 'cosine' | MAP: 0.0275 |
