|UserKNNCB| iter:   211/270 | topk:  80 | shrink:  20 | sim type: 'jaccard' | MAP: 0.0457 |
|UserKNNCB| iter:   212/270 | topk:  80 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0434 |
|UserKNNCB| iter:   213/270 | topk:  80 | shrink:  60 | sim type: 'jaccard' | MAP: 0.0406 |
|UserKNNCB| iter:   214/270 | topk:  80 | shrink:  80 | sim type: 'jaccard' | MAP: 0.0385 |
|UserKNNCB| iter:   215/270 | topk:  80 | shrink: 100 | sim type: 'jaccard' | MAP: 0.0373 |
|UserKNNCB| iter:   216/270 | topk:  80 | shrink: 120 | sim type: 'jaccard' | MAP: 0.0354 |
|UserKNNCB| iter:   217/270 | topk:  80 | shrink: 140 | sim type: 'jaccard' | MAP: 0.0341 |
|UserKNNCB| iter:   218/270 | topk:  80 | shrink: 160 | sim type: 'jaccard' | MAP: 0.0325 |
|UserKNNCB| iter:   219/270 | topk:  80 | shrink: 180 | sim type: 'jaccard' | MAP: 0.0315 |
|UserKNNCB| iter:   220/270 | topk: 100 | shrink:   0 | sim type: 'jaccard' | MAP: 0.0482 |
|UserKNNCB| iter:   221/270 | topk: 100 | shrink:  20 | sim type: 'jaccard' | MAP: 0.0441 |
|UserKNNCB| iter:   222/270 | topk: 100 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0413 |
|UserKNNCB| iter:   223/270 | topk: 100 | shrink:  60 | sim type: 'jaccard' | MAP: 0.0384 |
|UserKNNCB| iter:   224/270 | topk: 100 | shrink:  80 | sim type: 'jaccard' | MAP: 0.0366 |
|UserKNNCB| iter:   225/270 | topk: 100 | shrink: 100 | sim type: 'jaccard' | MAP: 0.0354 |
|UserKNNCB| iter:   226/270 | topk: 100 | shrink: 120 | sim type: 'jaccard' | MAP: 0.0334 |
|UserKNNCB| iter:   227/270 | topk: 100 | shrink: 140 | sim type: 'jaccard' | MAP: 0.0319 |
|UserKNNCB| iter:   228/270 | topk: 100 | shrink: 160 | sim type: 'jaccard' | MAP: 0.0311 |
|UserKNNCB| iter:   229/270 | topk: 100 | shrink: 180 | sim type: 'jaccard' | MAP: 0.0299 |
|UserKNNCB| iter:   230/270 | topk: 120 | shrink:   0 | sim type: 'jaccard' | MAP: 0.0464 |
|UserKNNCB| iter:   231/270 | topk: 120 | shrink:  20 | sim type: 'jaccard' | MAP: 0.0428 |
|UserKNNCB| iter:   232/270 | topk: 120 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0395 |
|UserKNNCB| iter:   233/270 | topk: 120 | shrink:  60 | sim type: 'jaccard' | MAP: 0.0369 |
|UserKNNCB| iter:   234/270 | topk: 120 | shrink:  80 | sim type: 'jaccard' | MAP: 0.0349 |
|UserKNNCB| iter:   235/270 | topk: 120 | shrink: 100 | sim type: 'jaccard' | MAP: 0.0329 |
|UserKNNCB| iter:   236/270 | topk: 120 | shrink: 120 | sim type: 'jaccard' | MAP: 0.0317 |
|UserKNNCB| iter:   237/270 | topk: 120 | shrink: 140 | sim type: 'jaccard' | MAP: 0.0305 |
|UserKNNCB| iter:   238/270 | topk: 120 | shrink: 160 | sim type: 'jaccard' | MAP: 0.0292 |
|UserKNNCB| iter:   239/270 | topk: 120 | shrink: 180 | sim type: 'jaccard' | MAP: 0.0286 |
|UserKNNCB| iter:   240/270 | topk: 140 | shrink:   0 | sim type: 'jaccard' | MAP: 0.0451 |
|UserKNNCB| iter:   241/270 | topk: 140 | shrink:  20 | sim type: 'jaccard' | MAP: 0.0418 |
|UserKNNCB| iter:   242/270 | topk: 140 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0383 |
|UserKNNCB| iter:   243/270 | topk: 140 | shrink:  60 | sim type: 'jaccard' | MAP: 0.0358 |
|UserKNNCB| iter:   244/270 | topk: 140 | shrink:  80 | sim type: 'jaccard' | MAP: 0.0338 |
|UserKNNCB| iter:   245/270 | topk: 140 | shrink: 100 | sim type: 'jaccard' | MAP: 0.0316 |
|UserKNNCB| iter:   246/270 | topk: 140 | shrink: 120 | sim type: 'jaccard' | MAP: 0.0306 |
|UserKNNCB| iter:   247/270 | topk: 140 | shrink: 140 | sim type: 'jaccard' | MAP: 0.0292 |
|UserKNNCB| iter:   248/270 | topk: 140 | shrink: 160 | sim type: 'jaccard' | MAP: 0.0280 |
|UserKNNCB| iter:   249/270 | topk: 140 | shrink: 180 | sim type: 'jaccard' | MAP: 0.0274 |
