|UserKNNCF| iter:   115/189 | topk: 160 | shrink:  60 | sim type: 'cosine' | MAP: 0.0540 |
|UserKNNCF| iter:   116/189 | topk: 160 | shrink:  80 | sim type: 'cosine' | MAP: 0.0540 |
|UserKNNCF| iter:   117/189 | topk: 160 | shrink: 100 | sim type: 'cosine' | MAP: 0.0541 |
|UserKNNCF| iter:   118/189 | topk: 160 | shrink: 120 | sim type: 'cosine' | MAP: 0.0541 |
|UserKNNCF| iter:   119/189 | topk: 180 | shrink:   0 | sim type: 'cosine' | MAP: 0.0496 |
|UserKNNCF| iter:   120/189 | topk: 180 | shrink:  20 | sim type: 'cosine' | MAP: 0.0538 |
|UserKNNCF| iter:   121/189 | topk: 180 | shrink:  40 | sim type: 'cosine' | MAP: 0.0543 |
|UserKNNCF| iter:   122/189 | topk: 180 | shrink:  60 | sim type: 'cosine' | MAP: 0.0538 |
|UserKNNCF| iter:   123/189 | topk: 180 | shrink:  80 | sim type: 'cosine' | MAP: 0.0538 |
|UserKNNCF| iter:   124/189 | topk: 180 | shrink: 100 | sim type: 'cosine' | MAP: 0.0538 |
|UserKNNCF| iter:   125/189 | topk: 180 | shrink: 120 | sim type: 'cosine' | MAP: 0.0539 |
|UserKNNCF| iter:   126/189 | topk:  20 | shrink:   0 | sim type: 'jaccard' | MAP: 0.0407 |
|UserKNNCF| iter:   127/189 | topk:  20 | shrink:  20 | sim type: 'jaccard' | MAP: 0.0501 |
|UserKNNCF| iter:   128/189 | topk:  20 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0512 |
|UserKNNCF| iter:   129/189 | topk:  20 | shrink:  60 | sim type: 'jaccard' | MAP: 0.0511 |
|UserKNNCF| iter:   130/189 | topk:  20 | shrink:  80 | sim type: 'jaccard' | MAP: 0.0509 |
|UserKNNCF| iter:   131/189 | topk:  20 | shrink: 100 | sim type: 'jaccard' | MAP: 0.0507 |
|UserKNNCF| iter:   132/189 | topk:  20 | shrink: 120 | sim type: 'jaccard' | MAP: 0.0509 |
|UserKNNCF| iter:   133/189 | topk:  40 | shrink:   0 | sim type: 'jaccard' | MAP: 0.0469 |
|UserKNNCF| iter:   134/189 | topk:  40 | shrink:  20 | sim type: 'jaccard' | MAP: 0.0538 |
|UserKNNCF| iter:   135/189 | topk:  40 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0543 |
|UserKNNCF| iter:   136/189 | topk:  40 | shrink:  60 | sim type: 'jaccard' | MAP: 0.0541 |
|UserKNNCF| iter:   137/189 | topk:  40 | shrink:  80 | sim type: 'jaccard' | MAP: 0.0541 |
|UserKNNCF| iter:   138/189 | topk:  40 | shrink: 100 | sim type: 'jaccard' | MAP: 0.0541 |
|UserKNNCF| iter:   139/189 | topk:  40 | shrink: 120 | sim type: 'jaccard' | MAP: 0.0541 |
|UserKNNCF| iter:   140/189 | topk:  60 | shrink:   0 | sim type: 'jaccard' | MAP: 0.0488 |
|UserKNNCF| iter:   141/189 | topk:  60 | shrink:  20 | sim type: 'jaccard' | MAP: 0.0549 |
|UserKNNCF| iter:   142/189 | topk:  60 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0556 |
|UserKNNCF| iter:   143/189 | topk:  60 | shrink:  60 | sim type: 'jaccard' | MAP: 0.0553 |
|UserKNNCF| iter:   144/189 | topk:  60 | shrink:  80 | sim type: 'jaccard' | MAP: 0.0552 |
|UserKNNCF| iter:   145/189 | topk:  60 | shrink: 100 | sim type: 'jaccard' | MAP: 0.0551 |
|UserKNNCF| iter:   146/189 | topk:  60 | shrink: 120 | sim type: 'jaccard' | MAP: 0.0553 |
|UserKNNCF| iter:   147/189 | topk:  80 | shrink:   0 | sim type: 'jaccard' | MAP: 0.0495 |
|UserKNNCF| iter:   148/189 | topk:  80 | shrink:  20 | sim type: 'jaccard' | MAP: 0.0548 |
|UserKNNCF| iter:   149/189 | topk:  80 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0552 |
|UserKNNCF| iter:   150/189 | topk:  80 | shrink:  60 | sim type: 'jaccard' | MAP: 0.0548 |
|UserKNNCF| iter:   151/189 | topk:  80 | shrink:  80 | sim type: 'jaccard' | MAP: 0.0548 |
|UserKNNCF| iter:   152/189 | topk:  80 | shrink: 100 | sim type: 'jaccard' | MAP: 0.0548 |
|UserKNNCF| iter:   153/189 | topk:  80 | shrink: 120 | sim type: 'jaccard' | MAP: 0.0547 |
|UserKNNCF| iter:   154/189 | topk: 100 | shrink:   0 | sim type: 'jaccard' | MAP: 0.0493 |
|UserKNNCF| iter:   155/189 | topk: 100 | shrink:  20 | sim type: 'jaccard' | MAP: 0.0543 |
|UserKNNCF| iter:   156/189 | topk: 100 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0546 |
|UserKNNCF| iter:   157/189 | topk: 100 | shrink:  60 | sim type: 'jaccard' | MAP: 0.0543 |
|UserKNNCF| iter:   158/189 | topk: 100 | shrink:  80 | sim type: 'jaccard' | MAP: 0.0543 |
|UserKNNCF| iter:   159/189 | topk: 100 | shrink: 100 | sim type: 'jaccard' | MAP: 0.0544 |
|UserKNNCF| iter:   160/189 | topk: 100 | shrink: 120 | sim type: 'jaccard' | MAP: 0.0542 |
|UserKNNCF| iter:   161/189 | topk: 120 | shrink:   0 | sim type: 'jaccard' | MAP: 0.0496 |
|UserKNNCF| iter:   162/189 | topk: 120 | shrink:  20 | sim type: 'jaccard' | MAP: 0.0546 |
|UserKNNCF| iter:   163/189 | topk: 120 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0549 |
|UserKNNCF| iter:   164/189 | topk: 120 | shrink:  60 | sim type: 'jaccard' | MAP: 0.0545 |
|UserKNNCF| iter:   165/189 | topk: 120 | shrink:  80 | sim type: 'jaccard' | MAP: 0.0544 |
|UserKNNCF| iter:   166/189 | topk: 120 | shrink: 100 | sim type: 'jaccard' | MAP: 0.0544 |
|UserKNNCF| iter:   167/189 | topk: 120 | shrink: 120 | sim type: 'jaccard' | MAP: 0.0544 |
|UserKNNCF| iter:   168/189 | topk: 140 | shrink:   0 | sim type: 'jaccard' | MAP: 0.0497 |
