| iter:   243/190 | topk: 180 | alpha: 0.100 | norm: l2 | MAP: 0.0522 |
| iter:   244/190 | topk: 180 | alpha: 0.100 | norm: l1 | MAP: 0.0528 |
| iter:   245/190 | topk: 180 | alpha: 0.100 | norm: max | MAP: 0.0523 |
| iter:   246/190 | topk: 180 | alpha: 0.200 | norm: l2 | MAP: 0.0545 |
| iter:   247/190 | topk: 180 | alpha: 0.200 | norm: l1 | MAP: 0.0544 |
| iter:   248/190 | topk: 180 | alpha: 0.200 | norm: max | MAP: 0.0540 |
| iter:   249/190 | topk: 180 | alpha: 0.300 | norm: l2 | MAP: 0.0558 |
| iter:   250/190 | topk: 180 | alpha: 0.300 | norm: l1 | MAP: 0.0556 |
| iter:   251/190 | topk: 180 | alpha: 0.300 | norm: max | MAP: 0.0555 |
| iter:   252/190 | topk: 180 | alpha: 0.400 | norm: l2 | MAP: 0.0575 |
| iter:   253/190 | topk: 180 | alpha: 0.400 | norm: l1 | MAP: 0.0571 |
| iter:   254/190 | topk: 180 | alpha: 0.400 | norm: max | MAP: 0.0566 |
| iter:   255/190 | topk: 180 | alpha: 0.500 | norm: l2 | MAP: 0.0588 |
| iter:   256/190 | topk: 180 | alpha: 0.500 | norm: l1 | MAP: 0.0585 |
| iter:   257/190 | topk: 180 | alpha: 0.500 | norm: max | MAP: 0.0587 |
| iter:   258/190 | topk: 180 | alpha: 0.600 | norm: l2 | MAP: 0.0601 |
| iter:   259/190 | topk: 180 | alpha: 0.600 | norm: l1 | MAP: 0.0588 |
| iter:   260/190 | topk: 180 | alpha: 0.600 | norm: max | MAP: 0.0594 |
| iter:   261/190 | topk: 180 | alpha: 0.700 | norm: l2 | MAP: 0.0596 |
| iter:   262/190 | topk: 180 | alpha: 0.700 | norm: l1 | MAP: 0.0588 |
| iter:   263/190 | topk: 180 | alpha: 0.700 | norm: max | MAP: 0.0593 |
| iter:   264/190 | topk: 180 | alpha: 0.800 | norm: l2 | MAP: 0.0586 |
| iter:   265/190 | topk: 180 | alpha: 0.800 | norm: l1 | MAP: 0.0582 |
| iter:   266/190 | topk: 180 | alpha: 0.800 | norm: max | MAP: 0.0587 |
| iter:   267/190 | topk: 180 | alpha: 0.900 | norm: l2 | MAP: 0.0578 |
| iter:   268/190 | topk: 180 | alpha: 0.900 | norm: l1 | MAP: 0.0570 |
| iter:   269/190 | topk: 180 | alpha: 0.900 | norm: max | MAP: 0.0579 |
| iter:   270/190 | topk: 200 | alpha: 0.000 | norm: l2 | MAP: 0.0506 |
| iter:   271/190 | topk: 200 | alpha: 0.000 | norm: l1 | MAP: 0.0506 |
| iter:   272/190 | topk: 200 | alpha: 0.000 | norm: max | MAP: 0.0506 |
| iter:   273/190 | topk: 200 | alpha: 0.100 | norm: l2 | MAP: 0.0522 |
| iter:   274/190 | topk: 200 | alpha: 0.100 | norm: l1 | MAP: 0.0529 |
| iter:   275/190 | topk: 200 | alpha: 0.100 | norm: max | MAP: 0.0523 |
| iter:   276/190 | topk: 200 | alpha: 0.200 | norm: l2 | MAP: 0.0545 |
| iter:   277/190 | topk: 200 | alpha: 0.200 | norm: l1 | MAP: 0.0545 |
| iter:   278/190 | topk: 200 | alpha: 0.200 | norm: max | MAP: 0.0540 |
| iter:   279/190 | topk: 200 | alpha: 0.300 | norm: l2 | MAP: 0.0557 |
| iter:   280/190 | topk: 200 | alpha: 0.300 | norm: l1 | MAP: 0.0556 |
| iter:   281/190 | topk: 200 | alpha: 0.300 | norm: max | MAP: 0.0554 |
| iter:   282/190 | topk: 200 | alpha: 0.400 | norm: l2 | MAP: 0.0576 |
| iter:   283/190 | topk: 200 | alpha: 0.400 | norm: l1 | MAP: 0.0571 |
| iter:   284/190 | topk: 200 | alpha: 0.400 | norm: max | MAP: 0.0566 |
| iter:   285/190 | topk: 200 | alpha: 0.500 | norm: l2 | MAP: 0.0589 |
| iter:   286/190 | topk: 200 | alpha: 0.500 | norm: l1 | MAP: 0.0584 |
| iter:   287/190 | topk: 200 | alpha: 0.500 | norm: max | MAP: 0.0589 |
| iter:   288/190 | topk: 200 | alpha: 0.600 | norm: l2 | MAP: 0.0602 |
| iter:   289/190 | topk: 200 | alpha: 0.600 | norm: l1 | MAP: 0.0588 |
| iter:   290/190 | topk: 200 | alpha: 0.600 | norm: max | MAP: 0.0596 |
| iter:   291/190 | topk: 200 | alpha: 0.700 | norm: l2 | MAP: 0.0599 |
| iter:   292/190 | topk: 200 | alpha: 0.700 | norm: l1 | MAP: 0.0590 |
| iter:   293/190 | topk: 200 | alpha: 0.700 | norm: max | MAP: 0.0595 |
| iter:   294/190 | topk: 200 | alpha: 0.800 | norm: l2 | MAP: 0.0587 |
| iter:   295/190 | topk: 200 | alpha: 0.800 | norm: l1 | MAP: 0.0584 |
| iter:   296/190 | topk: 200 | alpha: 0.800 | norm: max | MAP: 0.0587 |
| iter:   297/190 | topk: 200 | alpha: 0.900 | norm: l2 | MAP: 0.0579 |
| iter:   298/190 | topk: 200 | alpha: 0.900 | norm: l1 | MAP: 0.0571 |
| iter:   299/190 | topk: 200 | alpha: 0.900 | norm: max | MAP: 0.0579 |
| iter:   300/190 | topk: 220 | alpha: 0.000 | norm: l2 | MAP: 0.0505 |
| iter:   301/190 | topk: 220 | alpha: 0.000 | norm: l1 | MAP: 0.0505 |
| iter:   302/190 | topk: 220 | alpha: 0.000 | norm: max | MAP: 0.0506 |
| iter:   303/190 | topk: 220 | alpha: 0.100 | norm: l2 | MAP: 0.0522 |
| iter:   304/190 | topk: 220 | alpha: 0.100 | norm: l1 | MAP: 0.0529 |
| iter:   305/190 | topk: 220 | alpha: 0.100 | norm: max | MAP: 0.0523 |
| iter:   306/190 | topk: 220 | alpha: 0.200 | norm: l2 | MAP: 0.0544 |
| iter:   307/190 | topk: 220 | alpha: 0.200 | norm: l1 | MAP: 0.0544 |
