| iter:   308/460 | topk: 470 | alpha: 0.800 | MAP: 0.0545 |
| iter:   309/460 | topk: 470 | alpha: 0.900 | MAP: 0.0502 |
| iter:   310/460 | topk: 485 | alpha: 0.000 | MAP: 0.0456 |
| iter:   311/460 | topk: 485 | alpha: 0.100 | MAP: 0.0498 |
| iter:   312/460 | topk: 485 | alpha: 0.200 | MAP: 0.0526 |
| iter:   313/460 | topk: 485 | alpha: 0.300 | MAP: 0.0551 |
| iter:   314/460 | topk: 485 | alpha: 0.400 | MAP: 0.0572 |
| iter:   315/460 | topk: 485 | alpha: 0.500 | MAP: 0.0581 |
| iter:   316/460 | topk: 485 | alpha: 0.600 | MAP: 0.0584 |
| iter:   317/460 | topk: 485 | alpha: 0.700 | MAP: 0.0567 |
| iter:   318/460 | topk: 485 | alpha: 0.800 | MAP: 0.0539 |
| iter:   319/460 | topk: 485 | alpha: 0.900 | MAP: 0.0504 |
| iter:   320/460 | topk: 500 | alpha: 0.000 | MAP: 0.0456 |
| iter:   321/460 | topk: 500 | alpha: 0.100 | MAP: 0.0497 |
| iter:   322/460 | topk: 500 | alpha: 0.200 | MAP: 0.0520 |
| iter:   323/460 | topk: 500 | alpha: 0.300 | MAP: 0.0549 |
| iter:   324/460 | topk: 500 | alpha: 0.400 | MAP: 0.0569 |
| iter:   325/460 | topk: 500 | alpha: 0.500 | MAP: 0.0581 |
| iter:   326/460 | topk: 500 | alpha: 0.600 | MAP: 0.0581 |
| iter:   327/460 | topk: 500 | alpha: 0.700 | MAP: 0.0566 |
| iter:   328/460 | topk: 500 | alpha: 0.800 | MAP: 0.0544 |
| iter:   329/460 | topk: 500 | alpha: 0.900 | MAP: 0.0505 |
| iter:   330/460 | topk: 515 | alpha: 0.000 | MAP: 0.0454 |
| iter:   331/460 | topk: 515 | alpha: 0.100 | MAP: 0.0495 |
| iter:   332/460 | topk: 515 | alpha: 0.200 | MAP: 0.0520 |
| iter:   333/460 | topk: 515 | alpha: 0.300 | MAP: 0.0549 |
| iter:   334/460 | topk: 515 | alpha: 0.400 | MAP: 0.0570 |
| iter:   335/460 | topk: 515 | alpha: 0.500 | MAP: 0.0577 |
| iter:   336/460 | topk: 515 | alpha: 0.600 | MAP: 0.0582 |
| iter:   337/460 | topk: 515 | alpha: 0.700 | MAP: 0.0567 |
| iter:   338/460 | topk: 515 | alpha: 0.800 | MAP: 0.0540 |
| iter:   339/460 | topk: 515 | alpha: 0.900 | MAP: 0.0508 |
| iter:   340/460 | topk: 530 | alpha: 0.000 | MAP: 0.0449 |
| iter:   341/460 | topk: 530 | alpha: 0.100 | MAP: 0.0498 |
| iter:   342/460 | topk: 530 | alpha: 0.200 | MAP: 0.0520 |
| iter:   343/460 | topk: 530 | alpha: 0.300 | MAP: 0.0549 |
| iter:   344/460 | topk: 530 | alpha: 0.400 | MAP: 0.0567 |
| iter:   345/460 | topk: 530 | alpha: 0.500 | MAP: 0.0580 |
| iter:   346/460 | topk: 530 | alpha: 0.600 | MAP: 0.0585 |
| iter:   347/460 | topk: 530 | alpha: 0.700 | MAP: 0.0565 |
| iter:   348/460 | topk: 530 | alpha: 0.800 | MAP: 0.0539 |
| iter:   349/460 | topk: 530 | alpha: 0.900 | MAP: 0.0512 |
| iter:   350/460 | topk: 545 | alpha: 0.000 | MAP: 0.0463 |
| iter:   351/460 | topk: 545 | alpha: 0.100 | MAP: 0.0495 |
| iter:   352/460 | topk: 545 | alpha: 0.200 | MAP: 0.0522 |
| iter:   353/460 | topk: 545 | alpha: 0.300 | MAP: 0.0547 |
| iter:   354/460 | topk: 545 | alpha: 0.400 | MAP: 0.0566 |
| iter:   355/460 | topk: 545 | alpha: 0.500 | MAP: 0.0580 |
| iter:   356/460 | topk: 545 | alpha: 0.600 | MAP: 0.0579 |
| iter:   357/460 | topk: 545 | alpha: 0.700 | MAP: 0.0566 |
