14-12-2020-21:17:51
HMR(ItemKNNCF,P3alpha,UserKNNCF,IALS)
|iter:   181/2500 | vec: [0.02136202 0.38702152 0.31704344 0.27457302] | norm: none | MAP: 0.0593 |
|iter:   182/2500 | vec: [0.08909544 0.54691105 0.30717262 0.0568209 ] | norm: none | MAP: 0.0588 |
|iter:   183/2500 | vec: [0.03099755 0.16540112 0.65314814 0.1504532 ] | norm: none | MAP: 0.0598 |
|iter:   184/2500 | vec: [0.12223878 0.44001863 0.07938619 0.3583564 ] | norm: none | MAP: 0.0591 |
|iter:   185/2500 | vec: [0.26709106 0.01564069 0.3631866  0.35408164] | norm: none | MAP: 0.0581 |
|iter:   186/2500 | vec: [0.47932849 0.24481325 0.07145164 0.20440662] | norm: none | MAP: 0.0579 |
|iter:   187/2500 | vec: [0.08927334 0.32947906 0.28546065 0.29578696] | norm: none | MAP: 0.0596 |
|iter:   188/2500 | vec: [0.04958225 0.35000316 0.21774845 0.38266614] | norm: none | MAP: 0.0594 |
|iter:   189/2500 | vec: [0.00870742 0.2516171  0.5718022  0.16787328] | norm: none | MAP: 0.0597 |
|iter:   190/2500 | vec: [0.03910583 0.66664068 0.21010333 0.08415016] | norm: none | MAP: 0.0590 |
|iter:   191/2500 | vec: [0.25172142 0.50648751 0.02964692 0.21214415] | norm: none | MAP: 0.0584 |
|iter:   192/2500 | vec: [0.230058   0.59836272 0.00894258 0.1626367 ] | norm: none | MAP: 0.0586 |
|iter:   193/2500 | vec: [0.2424058  0.1980825  0.36317925 0.19633245] | norm: none | MAP: 0.0590 |
|iter:   194/2500 | vec: [0.24665752 0.23250369 0.04444521 0.47639359] | norm: none | MAP: 0.0596 |
|iter:   195/2500 | vec: [0.19978212 0.00594418 0.47300078 0.32127293] | norm: none | MAP: 0.0592 |
|iter:   196/2500 | vec: [0.38823652 0.01926317 0.44299466 0.14950565] | norm: none | MAP: 0.0567 |
