18-12-2020-18:26:05
HMR(ItemKNNCB,P3alpha,IALS)
|iter:   151/2500 | vec: [0.38767677 0.52687243 0.08545079] | norm: none | MAP: 0.0677 |
|iter:   152/2500 | vec: [0.66422537 0.24063358 0.09514104] | norm: none | MAP: 0.0756 |
|iter:   153/2500 | vec: [0.00765501 0.26598433 0.72636065] | norm: none | MAP: 0.0607 |
|iter:   154/2500 | vec: [0.53018289 0.22155432 0.24826279] | norm: none | MAP: 0.0761 |
|iter:   155/2500 | vec: [0.1256176  0.7695411  0.10484129] | norm: none | MAP: 0.0618 |
|iter:   156/2500 | vec: [0.34423105 0.47957638 0.17619257] | norm: none | MAP: 0.0676 |
|iter:   157/2500 | vec: [0.08105295 0.39192534 0.5270217 ] | norm: none | MAP: 0.0624 |
|iter:   158/2500 | vec: [0.13369117 0.19023853 0.67607029] | norm: none | MAP: 0.0672 |
|iter:   159/2500 | vec: [0.24822346 0.12156556 0.63021098] | norm: none | MAP: 0.0751 |
|iter:   160/2500 | vec: [0.72163147 0.20678166 0.07158687] | norm: none | MAP: 0.0735 |
|iter:   161/2500 | vec: [0.34760774 0.4381245  0.21426776] | norm: none | MAP: 0.0679 |
|iter:   162/2500 | vec: [0.6234815  0.00731458 0.36920392] | norm: none | MAP: 0.0461 |
|iter:   163/2500 | vec: [0.76494635 0.15654041 0.07851324] | norm: none | MAP: 0.0689 |
|iter:   164/2500 | vec: [0.52908277 0.36480939 0.10610784] | norm: none | MAP: 0.0727 |
|iter:   165/2500 | vec: [0.56594052 0.16983008 0.26422939] | norm: none | MAP: 0.0748 |
|iter:   166/2500 | vec: [0.24637221 0.3040853  0.44954249] | norm: none | MAP: 0.0682 |
|iter:   167/2500 | vec: [0.37187281 0.55546103 0.07266616] | norm: none | MAP: 0.0672 |
|iter:   168/2500 | vec: [0.16663032 0.51914278 0.3142269 ] | norm: none | MAP: 0.0638 |
|iter:   169/2500 | vec: [0.35051693 0.5107393  0.13874377] | norm: none | MAP: 0.0673 |
|iter:   170/2500 | vec: [0.16757896 0.4464212  0.38599984] | norm: none | MAP: 0.0643 |
|iter:   171/2500 | vec: [0.03338525 0.25494274 0.71167202] | norm: none | MAP: 0.0621 |
|iter:   172/2500 | vec: [0.11107336 0.10727614 0.7816505 ] | norm: none | MAP: 0.0691 |
|iter:   173/2500 | vec: [0.07222584 0.299521   0.62825316] | norm: none | MAP: 0.0633 |
|iter:   174/2500 | vec: [0.1938962  0.00568716 0.80041664] | norm: none | MAP: 0.0712 |
|iter:   175/2500 | vec: [0.32805217 0.00842072 0.6635271 ] | norm: none | MAP: 0.0615 |
|iter:   176/2500 | vec: [0.39967905 0.57027219 0.03004876] | norm: none | MAP: 0.0674 |
|iter:   177/2500 | vec: [0.0191905  0.48244155 0.49836795] | norm: none | MAP: 0.0607 |
|iter:   178/2500 | vec: [0.42209729 0.267772   0.31013071] | norm: none | MAP: 0.0734 |
|iter:   179/2500 | vec: [0.87900792 0.02097579 0.10001629] | norm: none | MAP: 0.0426 |
|iter:   180/2500 | vec: [1.17252455e-02 2.38683134e-04 9.88036071e-01] | norm: none | MAP: 0.0578 |
|iter:   181/2500 | vec: [0.88344993 0.09732739 0.01922268] | norm: none | MAP: 0.0558 |
|iter:   182/2500 | vec: [0.02887779 0.47835421 0.49276799] | norm: none | MAP: 0.0608 |
|iter:   183/2500 | vec: [0.28577925 0.41660099 0.29761976] | norm: none | MAP: 0.0673 |
|iter:   184/2500 | vec: [0.22089601 0.67811663 0.10098736] | norm: none | MAP: 0.0633 |
|iter:   185/2500 | vec: [0.0656904  0.06631257 0.86799702] | norm: none | MAP: 0.0674 |
|iter:   186/2500 | vec: [0.02614724 0.04924474 0.92460802] | norm: none | MAP: 0.0646 |
|iter:   187/2500 | vec: [0.88251792 0.0382487  0.07923338] | norm: none | MAP: 0.0453 |
|iter:   188/2500 | vec: [0.5710772  0.30804589 0.12087691] | norm: none | MAP: 0.0744 |
|iter:   189/2500 | vec: [0.22372548 0.5432865  0.23298802] | norm: none | MAP: 0.0645 |
|iter:   190/2500 | vec: [0.60016629 0.23614738 0.16368633] | norm: none | MAP: 0.0759 |
|iter:   191/2500 | vec: [0.07829773 0.83939485 0.08230742] | norm: none | MAP: 0.0611 |
|iter:   192/2500 | vec: [0.05283614 0.66264237 0.28452149] | norm: none | MAP: 0.0608 |
|iter:   193/2500 | vec: [0.21263526 0.30792949 0.47943526] | norm: none | MAP: 0.0674 |
|iter:   194/2500 | vec: [0.96453979 0.02196837 0.01349184] | norm: none | MAP: 0.0415 |
|iter:   195/2500 | vec: [0.01732063 0.81881809 0.16386128] | norm: none | MAP: 0.0600 |
|iter:   196/2500 | vec: [0.30580487 0.61025001 0.08394513] | norm: none | MAP: 0.0651 |
|iter:   197/2500 | vec: [0.25031317 0.17850257 0.57118426] | norm: none | MAP: 0.0721 |
|iter:   198/2500 | vec: [0.04450701 0.94450904 0.01098394] | norm: none | MAP: 0.0606 |
|iter:   199/2500 | vec: [0.02227233 0.03704215 0.94068552] | norm: none | MAP: 0.0642 |
|iter:   200/2500 | vec: [0.11521001 0.44778794 0.43700205] | norm: none | MAP: 0.0633 |
|iter:   201/2500 | vec: [0.21647586 0.16104337 0.62248077] | norm: none | MAP: 0.0710 |
|iter:   202/2500 | vec: [0.13624552 0.03532486 0.82842963] | norm: none | MAP: 0.0737 |
|iter:   203/2500 | vec: [0.70466996 0.13242015 0.16290988] | norm: none | MAP: 0.0681 |
|iter:   204/2500 | vec: [0.1388971  0.62058479 0.24051811] | norm: none | MAP: 0.0625 |
|iter:   205/2500 | vec: [0.11116122 0.24843397 0.64040482] | norm: none | MAP: 0.0651 |
|iter:   206/2500 | vec: [0.21681394 0.58912502 0.19406104] | norm: none | MAP: 0.0640 |
|iter:   207/2500 | vec: [0.18656427 0.23095919 0.58247654] | norm: none | MAP: 0.0679 |
|iter:   208/2500 | vec: [0.06407494 0.29389542 0.64202964] | norm: none | MAP: 0.0629 |
|iter:   209/2500 | vec: [0.0962069  0.06528966 0.83850344] | norm: none | MAP: 0.0703 |
|iter:   210/2500 | vec: [0.05564303 0.30337922 0.64097775] | norm: none | MAP: 0.0624 |
|iter:   211/2500 | vec: [0.14208579 0.06910744 0.78880677] | norm: none | MAP: 0.0731 |
|iter:   212/2500 | vec: [0.04005569 0.3653602  0.59458411] | norm: none | MAP: 0.0614 |
|iter:   213/2500 | vec: [0.02222104 0.96192068 0.01585827] | norm: none | MAP: 0.0604 |
|iter:   214/2500 | vec: [0.14211416 0.36212633 0.49575951] | norm: none | MAP: 0.0645 |
|iter:   215/2500 | vec: [0.06073858 0.36178786 0.57747356] | norm: none | MAP: 0.0621 |
|iter:   216/2500 | vec: [0.041743   0.54981592 0.40844107] | norm: none | MAP: 0.0607 |
|iter:   217/2500 | vec: [0.07305452 0.84855057 0.07839492] | norm: none | MAP: 0.0611 |
|iter:   218/2500 | vec: [0.29978452 0.18170129 0.51851419] | norm: none | MAP: 0.0737 |
|iter:   219/2500 | vec: [0.21627627 0.63654515 0.14717858] | norm: none | MAP: 0.0635 |
|iter:   220/2500 | vec: [0.2365295  0.33557184 0.42789867] | norm: none | MAP: 0.0674 |
|iter:   221/2500 | vec: [0.22562152 0.0310385  0.74333998] | norm: none | MAP: 0.0756 |
|iter:   222/2500 | vec: [0.31850243 0.47219196 0.20930561] | norm: none | MAP: 0.0671 |
|iter:   223/2500 | vec: [0.72014428 0.09056613 0.18928959] | norm: none | MAP: 0.0607 |
|iter:   224/2500 | vec: [0.38735286 0.31121561 0.30143154] | norm: none | MAP: 0.0717 |
|iter:   225/2500 | vec: [0.2880631  0.50323015 0.20870676] | norm: none | MAP: 0.0661 |
|iter:   226/2500 | vec: [0.38157979 0.26170811 0.3567121 ] | norm: none | MAP: 0.0728 |
|iter:   227/2500 | vec: [0.30156247 0.04890112 0.64953641] | norm: none | MAP: 0.0751 |
|iter:   228/2500 | vec: [0.14485706 0.25340352 0.60173942] | norm: none | MAP: 0.0660 |
|iter:   229/2500 | vec: [0.28831153 0.67140702 0.04028145] | norm: none | MAP: 0.0643 |
|iter:   230/2500 | vec: [0.0269646  0.51280589 0.46022951] | norm: none | MAP: 0.0607 |
|iter:   231/2500 | vec: [0.43015776 0.06639581 0.50344643] | norm: none | MAP: 0.0721 |
|iter:   232/2500 | vec: [0.16558567 0.34540321 0.48901112] | norm: none | MAP: 0.0652 |
|iter:   233/2500 | vec: [0.07798771 0.03743355 0.88457874] | norm: none | MAP: 0.0696 |
|iter:   234/2500 | vec: [0.84203794 0.12133428 0.03662778] | norm: none | MAP: 0.0611 |
|iter:   235/2500 | vec: [0.18560684 0.1484446  0.66594856] | norm: none | MAP: 0.0712 |
|iter:   236/2500 | vec: [0.15958077 0.15506809 0.68535114] | norm: none | MAP: 0.0696 |
|iter:   237/2500 | vec: [0.17826186 0.54327113 0.27846701] | norm: none | MAP: 0.0635 |
|iter:   238/2500 | vec: [0.37651519 0.12633972 0.49714509] | norm: none | MAP: 0.0771 |
|iter:   239/2500 | vec: [0.1863115 0.677984  0.1357045] | norm: none | MAP: 0.0627 |
|iter:   240/2500 | vec: [0.58830388 0.30055785 0.11113828] | norm: none | MAP: 0.0749 |
|iter:   241/2500 | vec: [0.49714386 0.04540566 0.45745049] | norm: none | MAP: 0.0625 |
|iter:   242/2500 | vec: [0.48602546 0.25846818 0.25550636] | norm: none | MAP: 0.0747 |
|iter:   243/2500 | vec: [0.60937545 0.35742986 0.0331947 ] | norm: none | MAP: 0.0739 |
|iter:   244/2500 | vec: [0.01976051 0.80505606 0.17518343] | norm: none | MAP: 0.0600 |
|iter:   245/2500 | vec: [0.54918195 0.22821027 0.22260778] | norm: none | MAP: 0.0759 |
|iter:   246/2500 | vec: [0.7068761  0.22776046 0.06536344] | norm: none | MAP: 0.0746 |
|iter:   247/2500 | vec: [0.0942897  0.02962064 0.87608967] | norm: none | MAP: 0.0711 |
|iter:   248/2500 | vec: [0.63491845 0.33986247 0.02521909] | norm: none | MAP: 0.0742 |
|iter:   249/2500 | vec: [0.15252119 0.59436775 0.25311105] | norm: none | MAP: 0.0627 |
|iter:   250/2500 | vec: [0.43030873 0.40259633 0.16709494] | norm: none | MAP: 0.0703 |
|iter:   251/2500 | vec: [0.00162607 0.41229721 0.58607672] | norm: none | MAP: 0.0601 |
|iter:   252/2500 | vec: [0.14149397 0.53843215 0.32007387] | norm: none | MAP: 0.0632 |
|iter:   253/2500 | vec: [0.04613715 0.28664357 0.66721928] | norm: none | MAP: 0.0622 |
|iter:   254/2500 | vec: [0.6360956 0.3475721 0.0163323] | norm: none | MAP: 0.0742 |
|iter:   255/2500 | vec: [0.12397694 0.38916124 0.48686182] | norm: none | MAP: 0.0640 |
|iter:   256/2500 | vec: [0.19021243 0.10772502 0.70206255] | norm: none | MAP: 0.0731 |
|iter:   257/2500 | vec: [0.05995114 0.33842635 0.60162252] | norm: none | MAP: 0.0623 |
|iter:   258/2500 | vec: [0.70971938 0.05644325 0.23383737] | norm: none | MAP: 0.0542 |
|iter:   259/2500 | vec: [0.16756927 0.63000396 0.20242678] | norm: none | MAP: 0.0628 |
|iter:   260/2500 | vec: [0.70064743 0.04513689 0.25421568] | norm: none | MAP: 0.0518 |
|iter:   261/2500 | vec: [0.38656651 0.54600439 0.0674291 ] | norm: none | MAP: 0.0675 |
|iter:   262/2500 | vec: [0.15829712 0.01431692 0.82738597] | norm: none | MAP: 0.0734 |
|iter:   263/2500 | vec: [0.01189294 0.93177403 0.05633304] | norm: none | MAP: 0.0603 |
|iter:   264/2500 | vec: [0.64394158 0.25191608 0.10414234] | norm: none | MAP: 0.0758 |
|iter:   265/2500 | vec: [0.09309791 0.26678781 0.64011428] | norm: none | MAP: 0.0643 |
|iter:   266/2500 | vec: [0.1621875  0.54079682 0.29701568] | norm: none | MAP: 0.0635 |
|iter:   267/2500 | vec: [0.2843886  0.37907527 0.33653613] | norm: none | MAP: 0.0679 |
|iter:   268/2500 | vec: [0.02353454 0.18234387 0.79412158] | norm: none | MAP: 0.0624 |
|iter:   269/2500 | vec: [0.58744452 0.10797269 0.30458279] | norm: none | MAP: 0.0703 |
