13-12-2020-01:00:35
HMR(Hsim(ItemKNNCF, ItemKNNCB),P3alpha,Hsim(UserKNNCF, UserKNNCB),Hsim(SLIM_MSE, SLIM_BPR),PureSVD,IALS)
|iter:    76/2500 | vec: [0.12189232 0.27755275 0.16887065 0.1720242  0.10542175 0.15423832] | norm: l2 | MAP: 0.0651 |
|iter:    77/2500 | vec: [0.48015218 0.17400331 0.19938878 0.01505901 0.07956547 0.05183124] | norm: l2 | MAP: 0.0716 |
|iter:    78/2500 | vec: [0.02515064 0.13586461 0.02082161 0.07201281 0.43307017 0.31308017] | norm: l2 | MAP: 0.0560 |
|iter:    79/2500 | vec: [0.70868302 0.04886558 0.10585003 0.01289575 0.06063744 0.06306818] | norm: l2 | MAP: 0.0720 |
|iter:    80/2500 | vec: [0.31992598 0.22276744 0.02268275 0.02906675 0.32176927 0.08378781] | norm: l2 | MAP: 0.0665 |
|iter:    81/2500 | vec: [0.10694606 0.14618996 0.07392158 0.20381061 0.30057248 0.16855931] | norm: l2 | MAP: 0.0615 |
|iter:    82/2500 | vec: [0.21021508 0.01469697 0.11320682 0.55855332 0.01974754 0.08358027] | norm: l2 | MAP: 0.0648 |
|iter:    83/2500 | vec: [0.11850389 0.04906015 0.39811656 0.07915616 0.07761226 0.27755098] | norm: l2 | MAP: 0.0655 |
|iter:    84/2500 | vec: [0.00402947 0.51043874 0.03472069 0.11976474 0.16841138 0.16263498] | norm: l2 | MAP: 0.0601 |
|iter:    85/2500 | vec: [0.00546486 0.05184264 0.05998079 0.42511347 0.33827199 0.11932625] | norm: l2 | MAP: 0.0583 |
|iter:    86/2500 | vec: [0.4090562  0.30098735 0.07115617 0.01878615 0.1411003  0.05891383] | norm: l2 | MAP: 0.0703 |
|iter:    87/2500 | vec: [0.00095024 0.38559758 0.3380301  0.0746979  0.0934508  0.10727338] | norm: l2 | MAP: 0.0620 |
|iter:    88/2500 | vec: [0.48455702 0.11695241 0.16226964 0.04767277 0.05151741 0.13703076] | norm: l2 | MAP: 0.0719 |
