| iter: 145/360 | topk: 160 | shrink: 25 | sim type: jaccard | MAP: 0.0306 |
| iter: 146/360 | topk: 160 | shrink: 30 | sim type: jaccard | MAP: 0.0302 |
| iter: 147/360 | topk: 160 | shrink: 35 | sim type: jaccard | MAP: 0.0300 |
| iter: 148/360 | topk: 160 | shrink: 40 | sim type: jaccard | MAP: 0.0299 |
| iter: 149/360 | topk: 160 | shrink: 45 | sim type: jaccard | MAP: 0.0296 |
| iter: 150/360 | topk: 170 | shrink: 0 | sim type: jaccard | MAP: 0.0259 |
| iter: 151/360 | topk: 170 | shrink: 5 | sim type: jaccard | MAP: 0.0311 |
| iter: 152/360 | topk: 170 | shrink: 10 | sim type: jaccard | MAP: 0.0314 |
| iter: 153/360 | topk: 170 | shrink: 15 | sim type: jaccard | MAP: 0.0309 |
| iter: 154/360 | topk: 170 | shrink: 20 | sim type: jaccard | MAP: 0.0307 |
| iter: 155/360 | topk: 170 | shrink: 25 | sim type: jaccard | MAP: 0.0305 |
| iter: 156/360 | topk: 170 | shrink: 30 | sim type: jaccard | MAP: 0.0301 |
| iter: 157/360 | topk: 170 | shrink: 35 | sim type: jaccard | MAP: 0.0299 |
| iter: 158/360 | topk: 170 | shrink: 40 | sim type: jaccard | MAP: 0.0297 |
| iter: 159/360 | topk: 170 | shrink: 45 | sim type: jaccard | MAP: 0.0295 |
| iter: 160/360 | topk: 180 | shrink: 0 | sim type: jaccard | MAP: 0.0257 |
| iter: 161/360 | topk: 180 | shrink: 5 | sim type: jaccard | MAP: 0.0309 |
| iter: 162/360 | topk: 180 | shrink: 10 | sim type: jaccard | MAP: 0.0313 |
| iter: 163/360 | topk: 180 | shrink: 15 | sim type: jaccard | MAP: 0.0308 |
| iter: 164/360 | topk: 180 | shrink: 20 | sim type: jaccard | MAP: 0.0306 |
| iter: 165/360 | topk: 180 | shrink: 25 | sim type: jaccard | MAP: 0.0304 |
| iter: 166/360 | topk: 180 | shrink: 30 | sim type: jaccard | MAP: 0.0300 |
| iter: 167/360 | topk: 180 | shrink: 35 | sim type: jaccard | MAP: 0.0298 |
| iter: 168/360 | topk: 180 | shrink: 40 | sim type: jaccard | MAP: 0.0296 |
| iter: 169/360 | topk: 180 | shrink: 45 | sim type: jaccard | MAP: 0.0294 |
| iter: 170/360 | topk: 190 | shrink: 0 | sim type: jaccard | MAP: 0.0256 |
| iter: 171/360 | topk: 190 | shrink: 5 | sim type: jaccard | MAP: 0.0308 |
| iter: 172/360 | topk: 190 | shrink: 10 | sim type: jaccard | MAP: 0.0312 |
| iter: 173/360 | topk: 190 | shrink: 15 | sim type: jaccard | MAP: 0.0307 |
| iter: 174/360 | topk: 190 | shrink: 20 | sim type: jaccard | MAP: 0.0306 |
| iter: 175/360 | topk: 190 | shrink: 25 | sim type: jaccard | MAP: 0.0305 |
| iter: 176/360 | topk: 190 | shrink: 30 | sim type: jaccard | MAP: 0.0301 |
| iter: 177/360 | topk: 190 | shrink: 35 | sim type: jaccard | MAP: 0.0299 |
| iter: 178/360 | topk: 190 | shrink: 40 | sim type: jaccard | MAP: 0.0296 |
| iter: 179/360 | topk: 190 | shrink: 45 | sim type: jaccard | MAP: 0.0295 |
| iter: 180/360 | topk: 20 | shrink: 0 | sim type: cosine | MAP: 0.0254 |
| iter: 181/360 | topk: 20 | shrink: 5 | sim type: cosine | MAP: 0.0309 |
| iter: 182/360 | topk: 20 | shrink: 10 | sim type: cosine | MAP: 0.0312 |
| iter: 183/360 | topk: 20 | shrink: 15 | sim type: cosine | MAP: 0.0308 |
| iter: 184/360 | topk: 20 | shrink: 20 | sim type: cosine | MAP: 0.0301 |
| iter: 185/360 | topk: 20 | shrink: 25 | sim type: cosine | MAP: 0.0300 |
| iter: 186/360 | topk: 20 | shrink: 30 | sim type: cosine | MAP: 0.0298 |
| iter: 187/360 | topk: 20 | shrink: 35 | sim type: cosine | MAP: 0.0298 |
| iter: 188/360 | topk: 20 | shrink: 40 | sim type: cosine | MAP: 0.0297 |
| iter: 189/360 | topk: 20 | shrink: 45 | sim type: cosine | MAP: 0.0294 |
| iter: 190/360 | topk: 30 | shrink: 0 | sim type: cosine | MAP: 0.0257 |
| iter: 191/360 | topk: 30 | shrink: 5 | sim type: cosine | MAP: 0.0312 |
| iter: 192/360 | topk: 30 | shrink: 10 | sim type: cosine | MAP: 0.0315 |
| iter: 193/360 | topk: 30 | shrink: 15 | sim type: cosine | MAP: 0.0316 |
| iter: 194/360 | topk: 30 | shrink: 20 | sim type: cosine | MAP: 0.0311 |
| iter: 195/360 | topk: 30 | shrink: 25 | sim type: cosine | MAP: 0.0310 |
| iter: 196/360 | topk: 30 | shrink: 30 | sim type: cosine | MAP: 0.0308 |
| iter: 197/360 | topk: 30 | shrink: 35 | sim type: cosine | MAP: 0.0306 |
| iter: 198/360 | topk: 30 | shrink: 40 | sim type: cosine | MAP: 0.0305 |
| iter: 199/360 | topk: 30 | shrink: 45 | sim type: cosine | MAP: 0.0305 |
| iter: 200/360 | topk: 40 | shrink: 0 | sim type: cosine | MAP: 0.0251 |
| iter: 201/360 | topk: 40 | shrink: 5 | sim type: cosine | MAP: 0.0307 |
| iter: 202/360 | topk: 40 | shrink: 10 | sim type: cosine | MAP: 0.0317 |
| iter: 203/360 | topk: 40 | shrink: 15 | sim type: cosine | MAP: 0.0315 |
| iter: 204/360 | topk: 40 | shrink: 20 | sim type: cosine | MAP: 0.0312 |
| iter: 205/360 | topk: 40 | shrink: 25 | sim type: cosine | MAP: 0.0311 |
| iter: 206/360 | topk: 40 | shrink: 30 | sim type: cosine | MAP: 0.0308 |
| iter: 207/360 | topk: 40 | shrink: 35 | sim type: cosine | MAP: 0.0306 |
| iter: 208/360 | topk: 40 | shrink: 40 | sim type: cosine | MAP: 0.0307 |
| iter: 209/360 | topk: 40 | shrink: 45 | sim type: cosine | MAP: 0.0303 |
| iter: 210/360 | topk: 50 | shrink: 0 | sim type: cosine | MAP: 0.0256 |
| iter: 211/360 | topk: 50 | shrink: 5 | sim type: cosine | MAP: 0.0306 |
| iter: 212/360 | topk: 50 | shrink: 10 | sim type: cosine | MAP: 0.0311 |
| iter: 213/360 | topk: 50 | shrink: 15 | sim type: cosine | MAP: 0.0314 |
| iter: 214/360 | topk: 50 | shrink: 20 | sim type: cosine | MAP: 0.0310 |
| iter: 215/360 | topk: 50 | shrink: 25 | sim type: cosine | MAP: 0.0306 |
| iter: 216/360 | topk: 50 | shrink: 30 | sim type: cosine | MAP: 0.0304 |
| iter: 217/360 | topk: 50 | shrink: 35 | sim type: cosine | MAP: 0.0301 |
| iter: 218/360 | topk: 50 | shrink: 40 | sim type: cosine | MAP: 0.0301 |
| iter: 219/360 | topk: 50 | shrink: 45 | sim type: cosine | MAP: 0.0299 |
| iter: 220/360 | topk: 60 | shrink: 0 | sim type: cosine | MAP: 0.0255 |
| iter: 221/360 | topk: 60 | shrink: 5 | sim type: cosine | MAP: 0.0309 |
| iter: 222/360 | topk: 60 | shrink: 10 | sim type: cosine | MAP: 0.0316 |
| iter: 223/360 | topk: 60 | shrink: 15 | sim type: cosine | MAP: 0.0313 |
| iter: 224/360 | topk: 60 | shrink: 20 | sim type: cosine | MAP: 0.0310 |
| iter: 225/360 | topk: 60 | shrink: 25 | sim type: cosine | MAP: 0.0306 |
| iter: 226/360 | topk: 60 | shrink: 30 | sim type: cosine | MAP: 0.0306 |
| iter: 227/360 | topk: 60 | shrink: 35 | sim type: cosine | MAP: 0.0302 |
| iter: 228/360 | topk: 60 | shrink: 40 | sim type: cosine | MAP: 0.0303 |
| iter: 229/360 | topk: 60 | shrink: 45 | sim type: cosine | MAP: 0.0300 |
| iter: 230/360 | topk: 70 | shrink: 0 | sim type: cosine | MAP: 0.0255 |
| iter: 231/360 | topk: 70 | shrink: 5 | sim type: cosine | MAP: 0.0310 |
| iter: 232/360 | topk: 70 | shrink: 10 | sim type: cosine | MAP: 0.0319 |
| iter: 233/360 | topk: 70 | shrink: 15 | sim type: cosine | MAP: 0.0314 |
| iter: 234/360 | topk: 70 | shrink: 20 | sim type: cosine | MAP: 0.0313 |
| iter: 235/360 | topk: 70 | shrink: 25 | sim type: cosine | MAP: 0.0311 |
| iter: 236/360 | topk: 70 | shrink: 30 | sim type: cosine | MAP: 0.0307 |
| iter: 237/360 | topk: 70 | shrink: 35 | sim type: cosine | MAP: 0.0304 |
| iter: 238/360 | topk: 70 | shrink: 40 | sim type: cosine | MAP: 0.0301 |
| iter: 239/360 | topk: 70 | shrink: 45 | sim type: cosine | MAP: 0.0299 |
| iter: 240/360 | topk: 80 | shrink: 0 | sim type: cosine | MAP: 0.0253 |
| iter: 241/360 | topk: 80 | shrink: 5 | sim type: cosine | MAP: 0.0308 |
| iter: 242/360 | topk: 80 | shrink: 10 | sim type: cosine | MAP: 0.0314 |
| iter: 243/360 | topk: 80 | shrink: 15 | sim type: cosine | MAP: 0.0312 |
| iter: 244/360 | topk: 80 | shrink: 20 | sim type: cosine | MAP: 0.0310 |
| iter: 245/360 | topk: 80 | shrink: 25 | sim type: cosine | MAP: 0.0308 |
| iter: 246/360 | topk: 80 | shrink: 30 | sim type: cosine | MAP: 0.0305 |
| iter: 247/360 | topk: 80 | shrink: 35 | sim type: cosine | MAP: 0.0301 |
| iter: 248/360 | topk: 80 | shrink: 40 | sim type: cosine | MAP: 0.0301 |
| iter: 249/360 | topk: 80 | shrink: 45 | sim type: cosine | MAP: 0.0297 |
| iter: 250/360 | topk: 90 | shrink: 0 | sim type: cosine | MAP: 0.0258 |
| iter: 251/360 | topk: 90 | shrink: 5 | sim type: cosine | MAP: 0.0311 |
| iter: 252/360 | topk: 90 | shrink: 10 | sim type: cosine | MAP: 0.0318 |
| iter: 253/360 | topk: 90 | shrink: 15 | sim type: cosine | MAP: 0.0314 |
| iter: 254/360 | topk: 90 | shrink: 20 | sim type: cosine | MAP: 0.0312 |
| iter: 255/360 | topk: 90 | shrink: 25 | sim type: cosine | MAP: 0.0312 |
| iter: 256/360 | topk: 90 | shrink: 30 | sim type: cosine | MAP: 0.0309 |
| iter: 257/360 | topk: 90 | shrink: 35 | sim type: cosine | MAP: 0.0306 |
| iter: 258/360 | topk: 90 | shrink: 40 | sim type: cosine | MAP: 0.0305 |
| iter: 259/360 | topk: 90 | shrink: 45 | sim type: cosine | MAP: 0.0303 |
| iter: 260/360 | topk: 100 | shrink: 0 | sim type: cosine | MAP: 0.0259 |
| iter: 261/360 | topk: 100 | shrink: 5 | sim type: cosine | MAP: 0.0313 |
| iter: 262/360 | topk: 100 | shrink: 10 | sim type: cosine | MAP: 0.0318 |
| iter: 263/360 | topk: 100 | shrink: 15 | sim type: cosine | MAP: 0.0317 |
| iter: 264/360 | topk: 100 | shrink: 20 | sim type: cosine | MAP: 0.0314 |
| iter: 265/360 | topk: 100 | shrink: 25 | sim type: cosine | MAP: 0.0314 |
| iter: 266/360 | topk: 100 | shrink: 30 | sim type: cosine | MAP: 0.0312 |
| iter: 267/360 | topk: 100 | shrink: 35 | sim type: cosine | MAP: 0.0308 |
| iter: 268/360 | topk: 100 | shrink: 40 | sim type: cosine | MAP: 0.0308 |
| iter: 269/360 | topk: 100 | shrink: 45 | sim type: cosine | MAP: 0.0305 |
| iter: 270/360 | topk: 110 | shrink: 0 | sim type: cosine | MAP: 0.0262 |
| iter: 271/360 | topk: 110 | shrink: 5 | sim type: cosine | MAP: 0.0312 |
| iter: 272/360 | topk: 110 | shrink: 10 | sim type: cosine | MAP: 0.0317 |
| iter: 273/360 | topk: 110 | shrink: 15 | sim type: cosine | MAP: 0.0317 |
| iter: 274/360 | topk: 110 | shrink: 20 | sim type: cosine | MAP: 0.0314 |
| iter: 275/360 | topk: 110 | shrink: 25 | sim type: cosine | MAP: 0.0311 |
| iter: 276/360 | topk: 110 | shrink: 30 | sim type: cosine | MAP: 0.0308 |
| iter: 277/360 | topk: 110 | shrink: 35 | sim type: cosine | MAP: 0.0305 |
| iter: 278/360 | topk: 110 | shrink: 40 | sim type: cosine | MAP: 0.0306 |
| iter: 279/360 | topk: 110 | shrink: 45 | sim type: cosine | MAP: 0.0303 |
| iter: 280/360 | topk: 120 | shrink: 0 | sim type: cosine | MAP: 0.0262 |
| iter: 281/360 | topk: 120 | shrink: 5 | sim type: cosine | MAP: 0.0313 |
| iter: 282/360 | topk: 120 | shrink: 10 | sim type: cosine | MAP: 0.0318 |
| iter: 283/360 | topk: 120 | shrink: 15 | sim type: cosine | MAP: 0.0315 |
| iter: 284/360 | topk: 120 | shrink: 20 | sim type: cosine | MAP: 0.0313 |
| iter: 285/360 | topk: 120 | shrink: 25 | sim type: cosine | MAP: 0.0311 |
| iter: 286/360 | topk: 120 | shrink: 30 | sim type: cosine | MAP: 0.0306 |
| iter: 287/360 | topk: 120 | shrink: 35 | sim type: cosine | MAP: 0.0303 |
| iter: 288/360 | topk: 120 | shrink: 40 | sim type: cosine | MAP: 0.0302 |
| iter: 289/360 | topk: 120 | shrink: 45 | sim type: cosine | MAP: 0.0299 |
| iter: 290/360 | topk: 130 | shrink: 0 | sim type: cosine | MAP: 0.0263 |
| iter: 291/360 | topk: 130 | shrink: 5 | sim type: cosine | MAP: 0.0314 |
| iter: 292/360 | topk: 130 | shrink: 10 | sim type: cosine | MAP: 0.0316 |
| iter: 293/360 | topk: 130 | shrink: 15 | sim type: cosine | MAP: 0.0314 |
| iter: 294/360 | topk: 130 | shrink: 20 | sim type: cosine | MAP: 0.0311 |
| iter: 295/360 | topk: 130 | shrink: 25 | sim type: cosine | MAP: 0.0309 |
| iter: 296/360 | topk: 130 | shrink: 30 | sim type: cosine | MAP: 0.0305 |
| iter: 297/360 | topk: 130 | shrink: 35 | sim type: cosine | MAP: 0.0301 |
| iter: 298/360 | topk: 130 | shrink: 40 | sim type: cosine | MAP: 0.0300 |
| iter: 299/360 | topk: 130 | shrink: 45 | sim type: cosine | MAP: 0.0298 |
| iter: 300/360 | topk: 140 | shrink: 0 | sim type: cosine | MAP: 0.0259 |
| iter: 301/360 | topk: 140 | shrink: 5 | sim type: cosine | MAP: 0.0311 |
| iter: 302/360 | topk: 140 | shrink: 10 | sim type: cosine | MAP: 0.0316 |
| iter: 303/360 | topk: 140 | shrink: 15 | sim type: cosine | MAP: 0.0314 |
| iter: 304/360 | topk: 140 | shrink: 20 | sim type: cosine | MAP: 0.0310 |
| iter: 305/360 | topk: 140 | shrink: 25 | sim type: cosine | MAP: 0.0309 |
| iter: 306/360 | topk: 140 | shrink: 30 | sim type: cosine | MAP: 0.0304 |
