12-12-2020-01:12:31
HMR(Hsim(ItemKNNCF, ItemKNNCB),Hsim(UserKNNCF, UserKNNCB),Hsim(P3alpha, RP3beta),Hsim(SLIM_MSE, SLIM_BPR),PureSVD)
|iter:   129/2500 | vec: [0.09678627 0.15789312 0.05411018 0.48418484 0.2070256 ] | norm: none | MAP: 0.0643 |
|iter:   130/2500 | vec: [0.06831277 0.01768689 0.23957179 0.01743023 0.65699833] | norm: none | MAP: 0.0585 |
|iter:   131/2500 | vec: [0.06847453 0.29833869 0.01611195 0.54324869 0.07382613] | norm: none | MAP: 0.0634 |
|iter:   132/2500 | vec: [0.22707176 0.40762213 0.04914267 0.24230532 0.07385811] | norm: none | MAP: 0.0673 |
|iter:   133/2500 | vec: [0.29046571 0.26183465 0.03962947 0.40399541 0.00407477] | norm: none | MAP: 0.0699 |
|iter:   134/2500 | vec: [0.32870891 0.13672362 0.08622899 0.23752028 0.2108182 ] | norm: none | MAP: 0.0700 |
|iter:   135/2500 | vec: [4.66406003e-01 3.47916454e-02 4.05830704e-04 2.90061331e-01
 2.08335190e-01] | norm: none | MAP: 0.0724 |
|iter:   136/2500 | vec: [0.24877946 0.13860092 0.23397701 0.28908695 0.08955566] | norm: none | MAP: 0.0664 |
|iter:   137/2500 | vec: [0.26656117 0.25165113 0.17211866 0.09312655 0.21654248] | norm: none | MAP: 0.0677 |
|iter:   138/2500 | vec: [0.00074874 0.35812182 0.5445279  0.06569193 0.0309096 ] | norm: none | MAP: 0.0594 |
|iter:   139/2500 | vec: [0.06420258 0.09280418 0.55367114 0.20214415 0.08717794] | norm: none | MAP: 0.0607 |
|iter:   140/2500 | vec: [0.06087301 0.14008853 0.38899449 0.16014904 0.24989494] | norm: none | MAP: 0.0625 |
|iter:   141/2500 | vec: [0.13189499 0.3955626  0.12482739 0.09528003 0.25243499] | norm: none | MAP: 0.0646 |
|iter:   142/2500 | vec: [0.05765618 0.14501258 0.08704839 0.22701766 0.48326519] | norm: none | MAP: 0.0592 |
|iter:   143/2500 | vec: [0.15036634 0.38870386 0.15465684 0.27046219 0.03581077] | norm: none | MAP: 0.0652 |
|iter:   144/2500 | vec: [0.09368431 0.3963479  0.15357738 0.24037669 0.11601371] | norm: none | MAP: 0.0643 |
|iter:   145/2500 | vec: [0.10901778 0.29274321 0.01110561 0.13469479 0.4524386 ] | norm: none | MAP: 0.0613 |
|iter:   146/2500 | vec: [0.16865536 0.04999399 0.43543421 0.06701402 0.27890241] | norm: none | MAP: 0.0637 |
|iter:   147/2500 | vec: [0.11851633 0.45337555 0.14931849 0.27757494 0.00121468] | norm: none | MAP: 0.0640 |
