| iter:   163/240 | topk: 120 | alpha: 0.400 | norm: l1 | MAP: 0.0559 |
| iter:   164/240 | topk: 120 | alpha: 0.400 | norm: max | MAP: 0.0553 |
| iter:   165/240 | topk: 120 | alpha: 0.500 | norm: l2 | MAP: 0.0571 |
| iter:   166/240 | topk: 120 | alpha: 0.500 | norm: l1 | MAP: 0.0569 |
| iter:   167/240 | topk: 120 | alpha: 0.500 | norm: max | MAP: 0.0566 |
| iter:   168/240 | topk: 120 | alpha: 0.600 | norm: l2 | MAP: 0.0588 |
| iter:   169/240 | topk: 120 | alpha: 0.600 | norm: l1 | MAP: 0.0580 |
| iter:   170/240 | topk: 120 | alpha: 0.600 | norm: max | MAP: 0.0578 |
| iter:   171/240 | topk: 120 | alpha: 0.700 | norm: l2 | MAP: 0.0588 |
| iter:   172/240 | topk: 120 | alpha: 0.700 | norm: l1 | MAP: 0.0582 |
| iter:   173/240 | topk: 120 | alpha: 0.700 | norm: max | MAP: 0.0581 |
| iter:   174/240 | topk: 120 | alpha: 0.800 | norm: l2 | MAP: 0.0581 |
| iter:   175/240 | topk: 120 | alpha: 0.800 | norm: l1 | MAP: 0.0576 |
| iter:   176/240 | topk: 120 | alpha: 0.800 | norm: max | MAP: 0.0589 |
| iter:   177/240 | topk: 120 | alpha: 0.900 | norm: l2 | MAP: 0.0575 |
| iter:   178/240 | topk: 120 | alpha: 0.900 | norm: l1 | MAP: 0.0564 |
| iter:   179/240 | topk: 120 | alpha: 0.900 | norm: max | MAP: 0.0579 |
| iter:   180/240 | topk: 140 | alpha: 0.000 | norm: l2 | MAP: 0.0492 |
| iter:   181/240 | topk: 140 | alpha: 0.000 | norm: l1 | MAP: 0.0493 |
| iter:   182/240 | topk: 140 | alpha: 0.000 | norm: max | MAP: 0.0493 |
| iter:   183/240 | topk: 140 | alpha: 0.100 | norm: l2 | MAP: 0.0515 |
| iter:   184/240 | topk: 140 | alpha: 0.100 | norm: l1 | MAP: 0.0522 |
| iter:   185/240 | topk: 140 | alpha: 0.100 | norm: max | MAP: 0.0515 |
| iter:   186/240 | topk: 140 | alpha: 0.200 | norm: l2 | MAP: 0.0530 |
| iter:   187/240 | topk: 140 | alpha: 0.200 | norm: l1 | MAP: 0.0536 |
| iter:   188/240 | topk: 140 | alpha: 0.200 | norm: max | MAP: 0.0525 |
| iter:   189/240 | topk: 140 | alpha: 0.300 | norm: l2 | MAP: 0.0546 |
| iter:   190/240 | topk: 140 | alpha: 0.300 | norm: l1 | MAP: 0.0553 |
| iter:   191/240 | topk: 140 | alpha: 0.300 | norm: max | MAP: 0.0543 |
