19-12-2020-03:18:06
|UserKNNCB| iter:   129/2340 | topk:  70 | shrink:  90 | sim type: splus | MAP: 0.0526 |
|UserKNNCB| iter:   130/2340 | topk:  70 | shrink: 100 | sim type: splus | MAP: 0.0529 |
|UserKNNCB| iter:   131/2340 | topk:  70 | shrink: 110 | sim type: splus | MAP: 0.0531 |
|UserKNNCB| iter:   132/2340 | topk:  70 | shrink: 120 | sim type: splus | MAP: 0.0534 |
|UserKNNCB| iter:   133/2340 | topk:  70 | shrink: 130 | sim type: splus | MAP: 0.0535 |
|UserKNNCB| iter:   134/2340 | topk:  70 | shrink: 140 | sim type: splus | MAP: 0.0530 |
|UserKNNCB| iter:   135/2340 | topk:  70 | shrink: 150 | sim type: splus | MAP: 0.0529 |
|UserKNNCB| iter:   136/2340 | topk:  70 | shrink: 160 | sim type: splus | MAP: 0.0527 |
|UserKNNCB| iter:   137/2340 | topk:  70 | shrink: 170 | sim type: splus | MAP: 0.0527 |
|UserKNNCB| iter:   138/2340 | topk:  70 | shrink: 180 | sim type: splus | MAP: 0.0525 |
|UserKNNCB| iter:   139/2340 | topk:  70 | shrink: 190 | sim type: splus | MAP: 0.0525 |
|UserKNNCB| iter:   140/2340 | topk:  80 | shrink:   0 | sim type: splus | MAP: 0.0530 |
|UserKNNCB| iter:   141/2340 | topk:  80 | shrink:  10 | sim type: splus | MAP: 0.0530 |
|UserKNNCB| iter:   142/2340 | topk:  80 | shrink:  20 | sim type: splus | MAP: 0.0530 |
|UserKNNCB| iter:   143/2340 | topk:  80 | shrink:  30 | sim type: splus | MAP: 0.0531 |
|UserKNNCB| iter:   144/2340 | topk:  80 | shrink:  40 | sim type: splus | MAP: 0.0534 |
|UserKNNCB| iter:   145/2340 | topk:  80 | shrink:  50 | sim type: splus | MAP: 0.0533 |
|UserKNNCB| iter:   146/2340 | topk:  80 | shrink:  60 | sim type: splus | MAP: 0.0534 |
|UserKNNCB| iter:   147/2340 | topk:  80 | shrink:  70 | sim type: splus | MAP: 0.0531 |
|UserKNNCB| iter:   148/2340 | topk:  80 | shrink:  80 | sim type: splus | MAP: 0.0530 |
|UserKNNCB| iter:   149/2340 | topk:  80 | shrink:  90 | sim type: splus | MAP: 0.0528 |
|UserKNNCB| iter:   150/2340 | topk:  80 | shrink: 100 | sim type: splus | MAP: 0.0529 |
|UserKNNCB| iter:   151/2340 | topk:  80 | shrink: 110 | sim type: splus | MAP: 0.0529 |
|UserKNNCB| iter:   152/2340 | topk:  80 | shrink: 120 | sim type: splus | MAP: 0.0530 |
|UserKNNCB| iter:   153/2340 | topk:  80 | shrink: 130 | sim type: splus | MAP: 0.0528 |
|UserKNNCB| iter:   154/2340 | topk:  80 | shrink: 140 | sim type: splus | MAP: 0.0527 |
|UserKNNCB| iter:   155/2340 | topk:  80 | shrink: 150 | sim type: splus | MAP: 0.0530 |
|UserKNNCB| iter:   156/2340 | topk:  80 | shrink: 160 | sim type: splus | MAP: 0.0531 |
|UserKNNCB| iter:   157/2340 | topk:  80 | shrink: 170 | sim type: splus | MAP: 0.0530 |
|UserKNNCB| iter:   158/2340 | topk:  80 | shrink: 180 | sim type: splus | MAP: 0.0532 |
|UserKNNCB| iter:   159/2340 | topk:  80 | shrink: 190 | sim type: splus | MAP: 0.0530 |
|UserKNNCB| iter:   160/2340 | topk:  90 | shrink:   0 | sim type: splus | MAP: 0.0530 |
|UserKNNCB| iter:   161/2340 | topk:  90 | shrink:  10 | sim type: splus | MAP: 0.0532 |
|UserKNNCB| iter:   162/2340 | topk:  90 | shrink:  20 | sim type: splus | MAP: 0.0535 |
|UserKNNCB| iter:   163/2340 | topk:  90 | shrink:  30 | sim type: splus | MAP: 0.0532 |
|UserKNNCB| iter:   164/2340 | topk:  90 | shrink:  40 | sim type: splus | MAP: 0.0536 |
|UserKNNCB| iter:   165/2340 | topk:  90 | shrink:  50 | sim type: splus | MAP: 0.0531 |
|UserKNNCB| iter:   166/2340 | topk:  90 | shrink:  60 | sim type: splus | MAP: 0.0531 |
|UserKNNCB| iter:   167/2340 | topk:  90 | shrink:  70 | sim type: splus | MAP: 0.0532 |
|UserKNNCB| iter:   168/2340 | topk:  90 | shrink:  80 | sim type: splus | MAP: 0.0535 |
|UserKNNCB| iter:   169/2340 | topk:  90 | shrink:  90 | sim type: splus | MAP: 0.0529 |
|UserKNNCB| iter:   170/2340 | topk:  90 | shrink: 100 | sim type: splus | MAP: 0.0526 |
|UserKNNCB| iter:   171/2340 | topk:  90 | shrink: 110 | sim type: splus | MAP: 0.0523 |
|UserKNNCB| iter:   172/2340 | topk:  90 | shrink: 120 | sim type: splus | MAP: 0.0524 |
|UserKNNCB| iter:   173/2340 | topk:  90 | shrink: 130 | sim type: splus | MAP: 0.0524 |
|UserKNNCB| iter:   174/2340 | topk:  90 | shrink: 140 | sim type: splus | MAP: 0.0526 |
|UserKNNCB| iter:   175/2340 | topk:  90 | shrink: 150 | sim type: splus | MAP: 0.0526 |
|UserKNNCB| iter:   176/2340 | topk:  90 | shrink: 160 | sim type: splus | MAP: 0.0526 |
|UserKNNCB| iter:   177/2340 | topk:  90 | shrink: 170 | sim type: splus | MAP: 0.0527 |
|UserKNNCB| iter:   178/2340 | topk:  90 | shrink: 180 | sim type: splus | MAP: 0.0531 |
|UserKNNCB| iter:   179/2340 | topk:  90 | shrink: 190 | sim type: splus | MAP: 0.0530 |
|UserKNNCB| iter:   180/2340 | topk: 100 | shrink:   0 | sim type: splus | MAP: 0.0527 |
|UserKNNCB| iter:   181/2340 | topk: 100 | shrink:  10 | sim type: splus | MAP: 0.0529 |
|UserKNNCB| iter:   182/2340 | topk: 100 | shrink:  20 | sim type: splus | MAP: 0.0533 |
|UserKNNCB| iter:   183/2340 | topk: 100 | shrink:  30 | sim type: splus | MAP: 0.0534 |
|UserKNNCB| iter:   184/2340 | topk: 100 | shrink:  40 | sim type: splus | MAP: 0.0530 |
|UserKNNCB| iter:   185/2340 | topk: 100 | shrink:  50 | sim type: splus | MAP: 0.0531 |
|UserKNNCB| iter:   186/2340 | topk: 100 | shrink:  60 | sim type: splus | MAP: 0.0531 |
|UserKNNCB| iter:   187/2340 | topk: 100 | shrink:  70 | sim type: splus | MAP: 0.0526 |
|UserKNNCB| iter:   188/2340 | topk: 100 | shrink:  80 | sim type: splus | MAP: 0.0527 |
|UserKNNCB| iter:   189/2340 | topk: 100 | shrink:  90 | sim type: splus | MAP: 0.0522 |
|UserKNNCB| iter:   190/2340 | topk: 100 | shrink: 100 | sim type: splus | MAP: 0.0523 |
|UserKNNCB| iter:   191/2340 | topk: 100 | shrink: 110 | sim type: splus | MAP: 0.0523 |
|UserKNNCB| iter:   192/2340 | topk: 100 | shrink: 120 | sim type: splus | MAP: 0.0521 |
|UserKNNCB| iter:   193/2340 | topk: 100 | shrink: 130 | sim type: splus | MAP: 0.0523 |
|UserKNNCB| iter:   194/2340 | topk: 100 | shrink: 140 | sim type: splus | MAP: 0.0527 |
|UserKNNCB| iter:   195/2340 | topk: 100 | shrink: 150 | sim type: splus | MAP: 0.0524 |
|UserKNNCB| iter:   196/2340 | topk: 100 | shrink: 160 | sim type: splus | MAP: 0.0523 |
|UserKNNCB| iter:   197/2340 | topk: 100 | shrink: 170 | sim type: splus | MAP: 0.0526 |
|UserKNNCB| iter:   198/2340 | topk: 100 | shrink: 180 | sim type: splus | MAP: 0.0526 |
|UserKNNCB| iter:   199/2340 | topk: 100 | shrink: 190 | sim type: splus | MAP: 0.0527 |
|UserKNNCB| iter:   200/2340 | topk: 110 | shrink:   0 | sim type: splus | MAP: 0.0523 |
|UserKNNCB| iter:   201/2340 | topk: 110 | shrink:  10 | sim type: splus | MAP: 0.0528 |
|UserKNNCB| iter:   202/2340 | topk: 110 | shrink:  20 | sim type: splus | MAP: 0.0531 |
|UserKNNCB| iter:   203/2340 | topk: 110 | shrink:  30 | sim type: splus | MAP: 0.0531 |
|UserKNNCB| iter:   204/2340 | topk: 110 | shrink:  40 | sim type: splus | MAP: 0.0527 |
|UserKNNCB| iter:   205/2340 | topk: 110 | shrink:  50 | sim type: splus | MAP: 0.0524 |
