19-12-2020-01:05:37
|UserKNNCF| iter:   113/1740 | topk:  60 | shrink: 130 | sim type: splus | MAP: 0.0563 |
|UserKNNCF| iter:   114/1740 | topk:  60 | shrink: 140 | sim type: splus | MAP: 0.0563 |
|UserKNNCF| iter:   115/1740 | topk:  60 | shrink: 150 | sim type: splus | MAP: 0.0562 |
|UserKNNCF| iter:   116/1740 | topk:  60 | shrink: 160 | sim type: splus | MAP: 0.0561 |
|UserKNNCF| iter:   117/1740 | topk:  60 | shrink: 170 | sim type: splus | MAP: 0.0562 |
|UserKNNCF| iter:   118/1740 | topk:  60 | shrink: 180 | sim type: splus | MAP: 0.0563 |
|UserKNNCF| iter:   119/1740 | topk:  60 | shrink: 190 | sim type: splus | MAP: 0.0563 |
|UserKNNCF| iter:   120/1740 | topk:  70 | shrink:   0 | sim type: splus | MAP: 0.0502 |
|UserKNNCF| iter:   121/1740 | topk:  70 | shrink:  10 | sim type: splus | MAP: 0.0542 |
|UserKNNCF| iter:   122/1740 | topk:  70 | shrink:  20 | sim type: splus | MAP: 0.0548 |
|UserKNNCF| iter:   123/1740 | topk:  70 | shrink:  30 | sim type: splus | MAP: 0.0553 |
|UserKNNCF| iter:   124/1740 | topk:  70 | shrink:  40 | sim type: splus | MAP: 0.0557 |
|UserKNNCF| iter:   125/1740 | topk:  70 | shrink:  50 | sim type: splus | MAP: 0.0562 |
|UserKNNCF| iter:   126/1740 | topk:  70 | shrink:  60 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   127/1740 | topk:  70 | shrink:  70 | sim type: splus | MAP: 0.0563 |
|UserKNNCF| iter:   128/1740 | topk:  70 | shrink:  80 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   129/1740 | topk:  70 | shrink:  90 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   130/1740 | topk:  70 | shrink: 100 | sim type: splus | MAP: 0.0563 |
|UserKNNCF| iter:   131/1740 | topk:  70 | shrink: 110 | sim type: splus | MAP: 0.0563 |
|UserKNNCF| iter:   132/1740 | topk:  70 | shrink: 120 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   133/1740 | topk:  70 | shrink: 130 | sim type: splus | MAP: 0.0567 |
|UserKNNCF| iter:   134/1740 | topk:  70 | shrink: 140 | sim type: splus | MAP: 0.0566 |
|UserKNNCF| iter:   135/1740 | topk:  70 | shrink: 150 | sim type: splus | MAP: 0.0566 |
|UserKNNCF| iter:   136/1740 | topk:  70 | shrink: 160 | sim type: splus | MAP: 0.0565 |
