18-12-2020-09:11:05
HMR(ItemKNNCB,RP3beta,P3alpha,UserKNNCF,UserKNNCB,IALS)
|iter:   112/2500 | vec: [0.10411202 0.08364798 0.08101824 0.210638   0.36797283 0.15261092] | norm: none | MAP: 0.0672 |
|iter:   113/2500 | vec: [0.202326   0.13876614 0.18914034 0.14166425 0.02297216 0.30513111] | norm: none | MAP: 0.0668 |
|iter:   114/2500 | vec: [0.03540104 0.06192827 0.14705669 0.21785223 0.50732454 0.03043723] | norm: none | MAP: 0.0633 |
|iter:   115/2500 | vec: [0.01021078 0.19418596 0.17427668 0.26726845 0.04125348 0.31280465] | norm: none | MAP: 0.0607 |
|iter:   116/2500 | vec: [0.0419634  0.0875335  0.12392721 0.05822374 0.02794698 0.66040517] | norm: none | MAP: 0.0635 |
|iter:   117/2500 | vec: [0.59271949 0.0854085  0.02578269 0.0549562  0.04395286 0.19718026] | norm: none | MAP: 0.0702 |
|iter:   118/2500 | vec: [0.12302238 0.11954351 0.52834392 0.04083804 0.12445809 0.06379406] | norm: none | MAP: 0.0625 |
|iter:   119/2500 | vec: [0.2527457  0.08480885 0.33372168 0.06124502 0.22286945 0.04460929] | norm: none | MAP: 0.0664 |
|iter:   120/2500 | vec: [0.27723378 0.14163563 0.05237308 0.26286855 0.02400858 0.24188038] | norm: none | MAP: 0.0721 |
|iter:   121/2500 | vec: [0.27249719 0.14491391 0.14325333 0.26772031 0.15703165 0.01458361] | norm: none | MAP: 0.0690 |
|iter:   122/2500 | vec: [0.01306772 0.53238747 0.11584965 0.18600527 0.07729372 0.07539618] | norm: none | MAP: 0.0608 |
|iter:   123/2500 | vec: [0.19607683 0.06317734 0.01813084 0.06813515 0.02140432 0.63307553] | norm: none | MAP: 0.0757 |
|iter:   124/2500 | vec: [0.27980156 0.14977364 0.01111377 0.08530679 0.33243644 0.1415678 ] | norm: none | MAP: 0.0744 |
|iter:   125/2500 | vec: [0.16432743 0.15374455 0.06381066 0.0010051  0.25484806 0.36226419] | norm: none | MAP: 0.0684 |
|iter:   126/2500 | vec: [0.05402953 0.20560054 0.12222034 0.02851966 0.1771886  0.41244132] | norm: none | MAP: 0.0628 |
|iter:   127/2500 | vec: [0.24072434 0.13153536 0.0061808  0.07705904 0.24188686 0.30261359] | norm: none | MAP: 0.0741 |
|iter:   128/2500 | vec: [0.1080898  0.06121564 0.3989529  0.0258834  0.14611275 0.25974551] | norm: none | MAP: 0.0631 |
|iter:   129/2500 | vec: [0.33145795 0.02636051 0.10920831 0.08930993 0.33577524 0.10788805] | norm: none | MAP: 0.0756 |
|iter:   130/2500 | vec: [0.18414367 0.01186284 0.06681279 0.28496937 0.4025039  0.04970743] | norm: none | MAP: 0.0738 |
|iter:   131/2500 | vec: [0.02951994 0.00266988 0.15429456 0.00967509 0.75801272 0.04582781] | norm: none | MAP: 0.0628 |
|iter:   132/2500 | vec: [0.35458223 0.13871595 0.0573453  0.04183415 0.11988284 0.28763953] | norm: none | MAP: 0.0746 |
|iter:   133/2500 | vec: [0.15125848 0.5043552  0.27700126 0.01916354 0.02554401 0.02267751] | norm: none | MAP: 0.0623 |
|iter:   134/2500 | vec: [0.00684707 0.05305056 0.23103927 0.41653523 0.07655945 0.21596841] | norm: none | MAP: 0.0611 |
|iter:   135/2500 | vec: [0.25147987 0.03413874 0.11374032 0.35412462 0.09876715 0.14774931] | norm: none | MAP: 0.0724 |
|iter:   136/2500 | vec: [0.02989415 0.12414619 0.10487883 0.36030677 0.03508423 0.34568983] | norm: none | MAP: 0.0620 |
|iter:   137/2500 | vec: [0.1127594  0.14506688 0.38113471 0.20661502 0.10912684 0.04529716] | norm: none | MAP: 0.0626 |
|iter:   138/2500 | vec: [0.08050378 0.04299507 0.04881386 0.17009179 0.07781601 0.57977949] | norm: none | MAP: 0.0677 |
|iter:   139/2500 | vec: [0.03749115 0.18123822 0.04631711 0.30811604 0.10530396 0.32153351] | norm: none | MAP: 0.0628 |
|iter:   140/2500 | vec: [0.17556762 0.41045586 0.11549703 0.07908319 0.05286297 0.16653333] | norm: none | MAP: 0.0638 |
|iter:   141/2500 | vec: [0.10324687 0.44732465 0.21263055 0.12761575 0.04761791 0.06156427] | norm: none | MAP: 0.0623 |
|iter:   142/2500 | vec: [0.02150221 0.18613416 0.14035101 0.17324925 0.08023322 0.39853015] | norm: none | MAP: 0.0615 |
|iter:   143/2500 | vec: [0.06226636 0.1354927  0.21585057 0.01513756 0.45336692 0.11788589] | norm: none | MAP: 0.0632 |
|iter:   144/2500 | vec: [0.05833823 0.21568638 0.42573988 0.00690566 0.16373133 0.12959851] | norm: none | MAP: 0.0617 |
|iter:   145/2500 | vec: [0.42886758 0.04625461 0.01099374 0.38105722 0.0641802  0.06864665] | norm: none | MAP: 0.0723 |
|iter:   146/2500 | vec: [0.14465861 0.05653465 0.20222883 0.24489426 0.18037427 0.17130937] | norm: none | MAP: 0.0663 |
|iter:   147/2500 | vec: [0.18206574 0.35105381 0.02452762 0.15117347 0.0070559  0.28412347] | norm: none | MAP: 0.0655 |
|iter:   148/2500 | vec: [0.30636464 0.28797408 0.13400247 0.0811337  0.16202031 0.02850479] | norm: none | MAP: 0.0679 |
|iter:   149/2500 | vec: [0.05874557 0.07189427 0.10215999 0.36863911 0.2743916  0.12416946] | norm: none | MAP: 0.0651 |
|iter:   150/2500 | vec: [0.13006633 0.03471016 0.08210883 0.20588441 0.38091622 0.16631404] | norm: none | MAP: 0.0697 |
|iter:   151/2500 | vec: [0.14000958 0.17645746 0.12334132 0.20144438 0.12901015 0.22973711] | norm: none | MAP: 0.0653 |
|iter:   152/2500 | vec: [0.30233551 0.36298366 0.20167843 0.00153962 0.11704274 0.01442004] | norm: none | MAP: 0.0659 |
|iter:   153/2500 | vec: [0.30928388 0.09883815 0.00212187 0.06874042 0.26273415 0.25828152] | norm: none | MAP: 0.0771 |
|iter:   154/2500 | vec: [0.47798892 0.18098473 0.2333064  0.01915242 0.0669407  0.02162684] | norm: none | MAP: 0.0711 |
|iter:   155/2500 | vec: [0.18578546 0.12269948 0.04405139 0.24719416 0.36305471 0.03721481] | norm: none | MAP: 0.0701 |
|iter:   156/2500 | vec: [0.31245713 0.05521005 0.26997631 0.15538216 0.11506268 0.09191166] | norm: none | MAP: 0.0694 |
|iter:   157/2500 | vec: [0.24633255 0.10732624 0.19008888 0.39819567 0.02309808 0.03495859] | norm: none | MAP: 0.0681 |
|iter:   158/2500 | vec: [0.11768815 0.02322365 0.01864438 0.33699478 0.2566843  0.24676474] | norm: none | MAP: 0.0722 |
|iter:   159/2500 | vec: [0.15071572 0.3821843  0.34293769 0.01898911 0.01776955 0.08740363] | norm: none | MAP: 0.0624 |
|iter:   160/2500 | vec: [0.18282815 0.06710924 0.016361   0.19646821 0.52551935 0.01171406] | norm: none | MAP: 0.0733 |
|iter:   161/2500 | vec: [0.09441829 0.04246611 0.35850165 0.13496302 0.21800832 0.15164262] | norm: none | MAP: 0.0630 |
|iter:   162/2500 | vec: [0.18556078 0.01197637 0.10047138 0.01119508 0.52067651 0.17011987] | norm: none | MAP: 0.0725 |
|iter:   163/2500 | vec: [0.03874881 0.0579059  0.0811347  0.19984162 0.06461549 0.55775348] | norm: none | MAP: 0.0644 |
|iter:   164/2500 | vec: [0.08102221 0.49416182 0.19643662 0.03096436 0.10662329 0.09079171] | norm: none | MAP: 0.0615 |
|iter:   165/2500 | vec: [0.51468275 0.05859701 0.10797661 0.04623202 0.19986703 0.07264458] | norm: none | MAP: 0.0754 |
|iter:   166/2500 | vec: [0.1295632  0.35906301 0.04276398 0.09595422 0.20255561 0.17009997] | norm: none | MAP: 0.0641 |
|iter:   167/2500 | vec: [0.14861958 0.43719426 0.03972334 0.04455036 0.24574508 0.08416737] | norm: none | MAP: 0.0639 |
|iter:   168/2500 | vec: [0.000701   0.2569565  0.24935805 0.05497313 0.05564931 0.38236201] | norm: none | MAP: 0.0601 |
|iter:   169/2500 | vec: [0.12428003 0.04007046 0.34137029 0.09211629 0.05683276 0.34533017] | norm: none | MAP: 0.0640 |
|iter:   170/2500 | vec: [0.00842734 0.51589399 0.02857061 0.04867356 0.29430703 0.10412748] | norm: none | MAP: 0.0611 |
|iter:   171/2500 | vec: [0.0022675  0.60651047 0.09354601 0.03551843 0.06925966 0.19289792] | norm: none | MAP: 0.0601 |
|iter:   172/2500 | vec: [0.18773351 0.10242775 0.08666136 0.18467644 0.35028955 0.08821139] | norm: none | MAP: 0.0695 |
|iter:   173/2500 | vec: [0.01265986 0.01880398 0.33865286 0.34806981 0.16454352 0.11726997] | norm: none | MAP: 0.0606 |
|iter:   174/2500 | vec: [0.2800388  0.2072703  0.17339233 0.10716079 0.17291532 0.05922246] | norm: none | MAP: 0.0678 |
|iter:   175/2500 | vec: [0.34796352 0.2916986  0.14195805 0.01137471 0.0930981  0.11390702] | norm: none | MAP: 0.0685 |
