13-12-2020-11:52:44
| iter:   187/320 | topk: 130 | alpha: 0.380 | beta: 0.060 | MAP: 0.0585 |
| iter:   188/320 | topk: 130 | alpha: 0.380 | beta: 0.090 | MAP: 0.0588 |
| iter:   189/320 | topk: 130 | alpha: 0.380 | beta: 0.120 | MAP: 0.0582 |
| iter:   190/320 | topk: 130 | alpha: 0.410 | beta: 0.000 | MAP: 0.0587 |
| iter:   191/320 | topk: 130 | alpha: 0.410 | beta: 0.030 | MAP: 0.0586 |
| iter:   192/320 | topk: 130 | alpha: 0.410 | beta: 0.060 | MAP: 0.0585 |
| iter:   193/320 | topk: 130 | alpha: 0.410 | beta: 0.090 | MAP: 0.0585 |
| iter:   194/320 | topk: 130 | alpha: 0.410 | beta: 0.120 | MAP: 0.0579 |
| iter:   195/320 | topk: 130 | alpha: 0.440 | beta: 0.000 | MAP: 0.0582 |
| iter:   196/320 | topk: 130 | alpha: 0.440 | beta: 0.030 | MAP: 0.0583 |
| iter:   197/320 | topk: 130 | alpha: 0.440 | beta: 0.060 | MAP: 0.0583 |
| iter:   198/320 | topk: 130 | alpha: 0.440 | beta: 0.090 | MAP: 0.0577 |
| iter:   199/320 | topk: 130 | alpha: 0.440 | beta: 0.120 | MAP: 0.0572 |
| iter:   200/320 | topk: 140 | alpha: 0.350 | beta: 0.000 | MAP: 0.0585 |
| iter:   201/320 | topk: 140 | alpha: 0.350 | beta: 0.030 | MAP: 0.0587 |
| iter:   202/320 | topk: 140 | alpha: 0.350 | beta: 0.060 | MAP: 0.0586 |
| iter:   203/320 | topk: 140 | alpha: 0.350 | beta: 0.090 | MAP: 0.0586 |
| iter:   204/320 | topk: 140 | alpha: 0.350 | beta: 0.120 | MAP: 0.0589 |
| iter:   205/320 | topk: 140 | alpha: 0.380 | beta: 0.000 | MAP: 0.0587 |
| iter:   206/320 | topk: 140 | alpha: 0.380 | beta: 0.030 | MAP: 0.0585 |
| iter:   207/320 | topk: 140 | alpha: 0.380 | beta: 0.060 | MAP: 0.0585 |
| iter:   208/320 | topk: 140 | alpha: 0.380 | beta: 0.090 | MAP: 0.0587 |
| iter:   209/320 | topk: 140 | alpha: 0.380 | beta: 0.120 | MAP: 0.0585 |
| iter:   210/320 | topk: 140 | alpha: 0.410 | beta: 0.000 | MAP: 0.0586 |
| iter:   211/320 | topk: 140 | alpha: 0.410 | beta: 0.030 | MAP: 0.0583 |
| iter:   212/320 | topk: 140 | alpha: 0.410 | beta: 0.060 | MAP: 0.0583 |
| iter:   213/320 | topk: 140 | alpha: 0.410 | beta: 0.090 | MAP: 0.0585 |
| iter:   214/320 | topk: 140 | alpha: 0.410 | beta: 0.120 | MAP: 0.0578 |
| iter:   215/320 | topk: 140 | alpha: 0.440 | beta: 0.000 | MAP: 0.0580 |
| iter:   216/320 | topk: 140 | alpha: 0.440 | beta: 0.030 | MAP: 0.0582 |
| iter:   217/320 | topk: 140 | alpha: 0.440 | beta: 0.060 | MAP: 0.0581 |
| iter:   218/320 | topk: 140 | alpha: 0.440 | beta: 0.090 | MAP: 0.0577 |
| iter:   219/320 | topk: 140 | alpha: 0.440 | beta: 0.120 | MAP: 0.0572 |
| iter:   220/320 | topk: 150 | alpha: 0.350 | beta: 0.000 | MAP: 0.0587 |
| iter:   221/320 | topk: 150 | alpha: 0.350 | beta: 0.030 | MAP: 0.0586 |
| iter:   222/320 | topk: 150 | alpha: 0.350 | beta: 0.060 | MAP: 0.0586 |
| iter:   223/320 | topk: 150 | alpha: 0.350 | beta: 0.090 | MAP: 0.0586 |
| iter:   224/320 | topk: 150 | alpha: 0.350 | beta: 0.120 | MAP: 0.0590 |
| iter:   225/320 | topk: 150 | alpha: 0.380 | beta: 0.000 | MAP: 0.0587 |
| iter:   226/320 | topk: 150 | alpha: 0.380 | beta: 0.030 | MAP: 0.0585 |
| iter:   227/320 | topk: 150 | alpha: 0.380 | beta: 0.060 | MAP: 0.0585 |
| iter:   228/320 | topk: 150 | alpha: 0.380 | beta: 0.090 | MAP: 0.0588 |
| iter:   229/320 | topk: 150 | alpha: 0.380 | beta: 0.120 | MAP: 0.0584 |
| iter:   230/320 | topk: 150 | alpha: 0.410 | beta: 0.000 | MAP: 0.0583 |
| iter:   231/320 | topk: 150 | alpha: 0.410 | beta: 0.030 | MAP: 0.0584 |
| iter:   232/320 | topk: 150 | alpha: 0.410 | beta: 0.060 | MAP: 0.0583 |
| iter:   233/320 | topk: 150 | alpha: 0.410 | beta: 0.090 | MAP: 0.0584 |
| iter:   234/320 | topk: 150 | alpha: 0.410 | beta: 0.120 | MAP: 0.0579 |
| iter:   235/320 | topk: 150 | alpha: 0.440 | beta: 0.000 | MAP: 0.0579 |
| iter:   236/320 | topk: 150 | alpha: 0.440 | beta: 0.030 | MAP: 0.0584 |
| iter:   237/320 | topk: 150 | alpha: 0.440 | beta: 0.060 | MAP: 0.0582 |
| iter:   238/320 | topk: 150 | alpha: 0.440 | beta: 0.090 | MAP: 0.0577 |
| iter:   239/320 | topk: 150 | alpha: 0.440 | beta: 0.120 | MAP: 0.0572 |
| iter:   240/320 | topk: 160 | alpha: 0.350 | beta: 0.000 | MAP: 0.0585 |
| iter:   241/320 | topk: 160 | alpha: 0.350 | beta: 0.030 | MAP: 0.0588 |
| iter:   242/320 | topk: 160 | alpha: 0.350 | beta: 0.060 | MAP: 0.0584 |
| iter:   243/320 | topk: 160 | alpha: 0.350 | beta: 0.090 | MAP: 0.0585 |
| iter:   244/320 | topk: 160 | alpha: 0.350 | beta: 0.120 | MAP: 0.0588 |
| iter:   245/320 | topk: 160 | alpha: 0.380 | beta: 0.000 | MAP: 0.0586 |
| iter:   246/320 | topk: 160 | alpha: 0.380 | beta: 0.030 | MAP: 0.0584 |
| iter:   247/320 | topk: 160 | alpha: 0.380 | beta: 0.060 | MAP: 0.0585 |
| iter:   248/320 | topk: 160 | alpha: 0.380 | beta: 0.090 | MAP: 0.0587 |
| iter:   249/320 | topk: 160 | alpha: 0.380 | beta: 0.120 | MAP: 0.0583 |
| iter:   250/320 | topk: 160 | alpha: 0.410 | beta: 0.000 | MAP: 0.0583 |
| iter:   251/320 | topk: 160 | alpha: 0.410 | beta: 0.030 | MAP: 0.0583 |
| iter:   252/320 | topk: 160 | alpha: 0.410 | beta: 0.060 | MAP: 0.0583 |
| iter:   253/320 | topk: 160 | alpha: 0.410 | beta: 0.090 | MAP: 0.0581 |
| iter:   254/320 | topk: 160 | alpha: 0.410 | beta: 0.120 | MAP: 0.0578 |
| iter:   255/320 | topk: 160 | alpha: 0.440 | beta: 0.000 | MAP: 0.0579 |
| iter:   256/320 | topk: 160 | alpha: 0.440 | beta: 0.030 | MAP: 0.0581 |
