09-01-2021-00:22:31
HMR(ItemKNNCF,RP3beta,UserKNNCF,IALS)
|iter:   119/2000 | vec: [0.13303613 0.26940618 0.19759637 0.39996132] | norm: none | MAP: 0.0748 |
|iter:   120/2000 | vec: [0.47420477 0.22433553 0.05820657 0.24325313] | norm: none | MAP: 0.0732 |
|iter:   121/2000 | vec: [0.00205111 0.03148814 0.68509831 0.28136243] | norm: none | MAP: 0.0691 |
|iter:   122/2000 | vec: [0.31433254 0.27150054 0.15161633 0.26255058] | norm: none | MAP: 0.0745 |
|iter:   123/2000 | vec: [0.33763291 0.3476582  0.03442977 0.28027912] | norm: none | MAP: 0.0745 |
|iter:   124/2000 | vec: [0.27988431 0.10270291 0.23200788 0.3854049 ] | norm: none | MAP: 0.0733 |
|iter:   125/2000 | vec: [0.31396398 0.33377267 0.11718489 0.23507846] | norm: none | MAP: 0.0747 |
|iter:   126/2000 | vec: [0.28674926 0.03803774 0.21787222 0.45734077] | norm: none | MAP: 0.0719 |
|iter:   127/2000 | vec: [0.38104937 0.30728831 0.0005716  0.31109072] | norm: none | MAP: 0.0746 |
|iter:   128/2000 | vec: [0.69604253 0.04260689 0.22217186 0.03917872] | norm: none | MAP: 0.0673 |
|iter:   129/2000 | vec: [0.2345344  0.44272952 0.03764217 0.28509392] | norm: none | MAP: 0.0748 |
|iter:   130/2000 | vec: [0.09068207 0.54217993 0.00823427 0.35890373] | norm: none | MAP: 0.0741 |
|iter:   131/2000 | vec: [0.09629775 0.18149441 0.06814569 0.65406214] | norm: none | MAP: 0.0749 |
|iter:   132/2000 | vec: [0.15710806 0.30646702 0.31851971 0.21790521] | norm: none | MAP: 0.0740 |
|iter:   133/2000 | vec: [0.06372328 0.34608245 0.21650278 0.37369149] | norm: none | MAP: 0.0740 |
|iter:   134/2000 | vec: [0.14911494 0.68786383 0.07254291 0.09047831] | norm: none | MAP: 0.0742 |
|iter:   135/2000 | vec: [0.15870595 0.25173087 0.3538556  0.23570758] | norm: none | MAP: 0.0736 |
|iter:   136/2000 | vec: [0.01636624 0.0965555  0.27333868 0.61373958] | norm: none | MAP: 0.0728 |
|iter:   137/2000 | vec: [0.38868839 0.11153975 0.45203285 0.04773901] | norm: none | MAP: 0.0721 |
|iter:   138/2000 | vec: [0.38599416 0.57885873 0.00067591 0.0344712 ] | norm: none | MAP: 0.0740 |
|iter:   139/2000 | vec: [0.2382704  0.14994552 0.11813829 0.49364579] | norm: none | MAP: 0.0749 |
|iter:   140/2000 | vec: [0.31214136 0.20296468 0.36776735 0.11712662] | norm: none | MAP: 0.0734 |
|iter:   141/2000 | vec: [0.30175368 0.09450855 0.16194991 0.44178785] | norm: none | MAP: 0.0737 |
|iter:   142/2000 | vec: [0.2397417  0.0878447  0.29396815 0.37844545] | norm: none | MAP: 0.0730 |
|iter:   143/2000 | vec: [0.35304414 0.36108525 0.00352846 0.28234215] | norm: none | MAP: 0.0747 |
|iter:   144/2000 | vec: [0.01677772 0.67546125 0.26579798 0.04196305] | norm: none | MAP: 0.0733 |
|iter:   145/2000 | vec: [0.34927279 0.0268382  0.42304334 0.20084567] | norm: none | MAP: 0.0711 |
|iter:   146/2000 | vec: [0.494389   0.18993899 0.08372321 0.2319488 ] | norm: none | MAP: 0.0727 |
