10-01-2021-23:09:44
HMR(ItemKNNCB,RP3beta)
|iter:   160/2000 | vec: [0.08350555 0.91649445] | norm: none | MAP: 0.0598 |
|iter:   161/2000 | vec: [0.65388187 0.34611813] | norm: none | MAP: 0.0736 |
|iter:   162/2000 | vec: [0.45002323 0.54997677] | norm: none | MAP: 0.0673 |
|iter:   163/2000 | vec: [0.89619336 0.10380664] | norm: none | MAP: 0.0572 |
|iter:   164/2000 | vec: [0.79125463 0.20874537] | norm: none | MAP: 0.0719 |
|iter:   165/2000 | vec: [0.54681118 0.45318882] | norm: none | MAP: 0.0700 |
|iter:   166/2000 | vec: [0.42095065 0.57904935] | norm: none | MAP: 0.0669 |
|iter:   167/2000 | vec: [0.72953942 0.27046058] | norm: none | MAP: 0.0742 |
|iter:   168/2000 | vec: [0.86611933 0.13388067] | norm: none | MAP: 0.0628 |
|iter:   169/2000 | vec: [0.17578946 0.82421054] | norm: none | MAP: 0.0615 |
|iter:   170/2000 | vec: [0.15257179 0.84742821] | norm: none | MAP: 0.0612 |
|iter:   171/2000 | vec: [0.88245904 0.11754096] | norm: none | MAP: 0.0597 |
|iter:   172/2000 | vec: [0.57456668 0.42543332] | norm: none | MAP: 0.0712 |
