17-12-2020-08:45:23
HMR(ItemKNNCF,ItemKNNCB,RP3beta,UserKNNCB,PureSVD)
|iter:   101/2500 | vec: [0.36881016 0.22323352 0.1429956  0.20835932 0.0566014 ] | norm: none | MAP: 0.0652 |
|iter:   102/2500 | vec: [0.14497188 0.3861972  0.33392692 0.01562042 0.11928358] | norm: none | MAP: 0.0693 |
|iter:   103/2500 | vec: [0.54495071 0.04164054 0.04021699 0.29303468 0.08015709] | norm: none | MAP: 0.0587 |
|iter:   104/2500 | vec: [0.10809794 0.22673827 0.12897273 0.0037829  0.53240816] | norm: none | MAP: 0.0702 |
|iter:   105/2500 | vec: [0.05258527 0.0013498  0.10636037 0.34600948 0.49369508] | norm: none | MAP: 0.0610 |
|iter:   106/2500 | vec: [0.02255289 0.01129757 0.28401636 0.29339233 0.38874086] | norm: none | MAP: 0.0624 |
|iter:   107/2500 | vec: [0.29435006 0.34091314 0.32060654 0.00765064 0.03647962] | norm: none | MAP: 0.0665 |
|iter:   108/2500 | vec: [3.72215192e-03 7.57694057e-05 3.13649753e-01 6.14819280e-01
 6.77330458e-02] | norm: none | MAP: 0.0615 |
|iter:   109/2500 | vec: [0.02621937 0.0239654  0.39698147 0.40894332 0.14389044] | norm: none | MAP: 0.0624 |
|iter:   110/2500 | vec: [0.16328485 0.1166507  0.15905936 0.48828768 0.07271741] | norm: none | MAP: 0.0650 |
|iter:   111/2500 | vec: [0.05746873 0.05801303 0.75936031 0.04340693 0.081751  ] | norm: none | MAP: 0.0614 |
|iter:   112/2500 | vec: [0.21522891 0.27887064 0.01208637 0.0250373  0.46877678] | norm: none | MAP: 0.0708 |
|iter:   113/2500 | vec: [0.39507085 0.15502542 0.10065493 0.24442663 0.10482218] | norm: none | MAP: 0.0631 |
|iter:   114/2500 | vec: [0.48992384 0.19277029 0.13361936 0.01567217 0.16801434] | norm: none | MAP: 0.0625 |
|iter:   115/2500 | vec: [0.03166195 0.04008146 0.50268007 0.21583781 0.2097387 ] | norm: none | MAP: 0.0622 |
|iter:   116/2500 | vec: [0.1963192  0.30566201 0.48035894 0.01094066 0.00671919] | norm: none | MAP: 0.0654 |
|iter:   117/2500 | vec: [0.01329653 0.62858205 0.12579139 0.0775583  0.15477174] | norm: none | MAP: 0.0712 |
|iter:   118/2500 | vec: [0.05703767 0.21722861 0.15490941 0.49568931 0.075135  ] | norm: none | MAP: 0.0712 |
|iter:   119/2500 | vec: [0.42353143 0.00492536 0.0127296  0.02117119 0.53764242] | norm: none | MAP: 0.0569 |
|iter:   120/2500 | vec: [0.08729341 0.33928419 0.33111184 0.13894493 0.10336562] | norm: none | MAP: 0.0697 |
|iter:   121/2500 | vec: [0.57317703 0.03586127 0.00929788 0.21805151 0.16361231] | norm: none | MAP: 0.0579 |
|iter:   122/2500 | vec: [0.01420608 0.01747703 0.13449641 0.60092273 0.23289774] | norm: none | MAP: 0.0639 |
|iter:   123/2500 | vec: [0.09518201 0.21272207 0.54834787 0.03867114 0.10507691] | norm: none | MAP: 0.0643 |
|iter:   124/2500 | vec: [0.02050976 0.18101866 0.22409394 0.56516247 0.00921517] | norm: none | MAP: 0.0678 |
|iter:   125/2500 | vec: [0.02465351 0.05385686 0.08865366 0.06016374 0.77267223] | norm: none | MAP: 0.0626 |
|iter:   126/2500 | vec: [0.05223051 0.28477333 0.60166735 0.04126056 0.02006824] | norm: none | MAP: 0.0649 |
|iter:   127/2500 | vec: [0.83080525 0.00637233 0.058124   0.09459051 0.01010791] | norm: none | MAP: 0.0552 |
