| iter: 129/684 | topk: 90 | alpha: 0.2 | MAP: 0.0561 |
| iter: 130/684 | topk: 90 | alpha: 0.25 | MAP: 0.0570 |
| iter: 131/684 | topk: 90 | alpha: 0.3 | MAP: 0.0573 |
| iter: 132/684 | topk: 90 | alpha: 0.35000000000000003 | MAP: 0.0578 |
| iter: 133/684 | topk: 90 | alpha: 0.4 | MAP: 0.0584 |
| iter: 134/684 | topk: 90 | alpha: 0.45 | MAP: 0.0591 |
| iter: 135/684 | topk: 90 | alpha: 0.5 | MAP: 0.0596 |
| iter: 136/684 | topk: 90 | alpha: 0.55 | MAP: 0.0601 |
| iter: 137/684 | topk: 90 | alpha: 0.6000000000000001 | MAP: 0.0608 |
| iter: 138/684 | topk: 90 | alpha: 0.6500000000000001 | MAP: 0.0615 |
| iter: 139/684 | topk: 90 | alpha: 0.7000000000000001 | MAP: 0.0624 |
| iter: 140/684 | topk: 90 | alpha: 0.7500000000000001 | MAP: 0.0634 |
| iter: 141/684 | topk: 90 | alpha: 0.8 | MAP: 0.0648 |
| iter: 142/684 | topk: 90 | alpha: 0.8500000000000001 | MAP: 0.0675 |
| iter: 143/684 | topk: 90 | alpha: 0.9000000000000001 | MAP: 0.0691 |
| iter: 144/684 | topk: 100 | alpha: 0.05 | MAP: 0.0553 |
| iter: 145/684 | topk: 100 | alpha: 0.1 | MAP: 0.0557 |
| iter: 146/684 | topk: 100 | alpha: 0.15000000000000002 | MAP: 0.0561 |
| iter: 147/684 | topk: 100 | alpha: 0.2 | MAP: 0.0565 |
| iter: 148/684 | topk: 100 | alpha: 0.25 | MAP: 0.0573 |
| iter: 149/684 | topk: 100 | alpha: 0.3 | MAP: 0.0574 |
| iter: 150/684 | topk: 100 | alpha: 0.35000000000000003 | MAP: 0.0581 |
| iter: 151/684 | topk: 100 | alpha: 0.4 | MAP: 0.0585 |
| iter: 152/684 | topk: 100 | alpha: 0.45 | MAP: 0.0592 |
| iter: 153/684 | topk: 100 | alpha: 0.5 | MAP: 0.0599 |
| iter: 154/684 | topk: 100 | alpha: 0.55 | MAP: 0.0604 |
| iter: 155/684 | topk: 100 | alpha: 0.6000000000000001 | MAP: 0.0610 |
| iter: 156/684 | topk: 100 | alpha: 0.6500000000000001 | MAP: 0.0615 |
| iter: 157/684 | topk: 100 | alpha: 0.7000000000000001 | MAP: 0.0625 |
| iter: 158/684 | topk: 100 | alpha: 0.7500000000000001 | MAP: 0.0636 |
| iter: 159/684 | topk: 100 | alpha: 0.8 | MAP: 0.0652 |
| iter: 160/684 | topk: 100 | alpha: 0.8500000000000001 | MAP: 0.0674 |
| iter: 161/684 | topk: 100 | alpha: 0.9000000000000001 | MAP: 0.0694 |
| iter: 162/684 | topk: 110 | alpha: 0.05 | MAP: 0.0556 |
| iter: 163/684 | topk: 110 | alpha: 0.1 | MAP: 0.0559 |
| iter: 164/684 | topk: 110 | alpha: 0.15000000000000002 | MAP: 0.0562 |
| iter: 165/684 | topk: 110 | alpha: 0.2 | MAP: 0.0566 |
| iter: 166/684 | topk: 110 | alpha: 0.25 | MAP: 0.0574 |
| iter: 167/684 | topk: 110 | alpha: 0.3 | MAP: 0.0578 |
| iter: 168/684 | topk: 110 | alpha: 0.35000000000000003 | MAP: 0.0582 |
| iter: 169/684 | topk: 110 | alpha: 0.4 | MAP: 0.0586 |
| iter: 170/684 | topk: 110 | alpha: 0.45 | MAP: 0.0594 |
| iter: 171/684 | topk: 110 | alpha: 0.5 | MAP: 0.0600 |
| iter: 172/684 | topk: 110 | alpha: 0.55 | MAP: 0.0604 |
| iter: 173/684 | topk: 110 | alpha: 0.6000000000000001 | MAP: 0.0611 |
| iter: 174/684 | topk: 110 | alpha: 0.6500000000000001 | MAP: 0.0618 |
| iter: 175/684 | topk: 110 | alpha: 0.7000000000000001 | MAP: 0.0626 |
| iter: 176/684 | topk: 110 | alpha: 0.7500000000000001 | MAP: 0.0638 |
| iter: 177/684 | topk: 110 | alpha: 0.8 | MAP: 0.0653 |
| iter: 178/684 | topk: 110 | alpha: 0.8500000000000001 | MAP: 0.0676 |
| iter: 179/684 | topk: 110 | alpha: 0.9000000000000001 | MAP: 0.0693 |
| iter: 180/684 | topk: 120 | alpha: 0.05 | MAP: 0.0562 |
| iter: 181/684 | topk: 120 | alpha: 0.1 | MAP: 0.0565 |
| iter: 182/684 | topk: 120 | alpha: 0.15000000000000002 | MAP: 0.0569 |
| iter: 183/684 | topk: 120 | alpha: 0.2 | MAP: 0.0570 |
| iter: 184/684 | topk: 120 | alpha: 0.25 | MAP: 0.0578 |
| iter: 185/684 | topk: 120 | alpha: 0.3 | MAP: 0.0581 |
| iter: 186/684 | topk: 120 | alpha: 0.35000000000000003 | MAP: 0.0586 |
| iter: 187/684 | topk: 120 | alpha: 0.4 | MAP: 0.0593 |
| iter: 188/684 | topk: 120 | alpha: 0.45 | MAP: 0.0602 |
| iter: 189/684 | topk: 120 | alpha: 0.5 | MAP: 0.0605 |
| iter: 190/684 | topk: 120 | alpha: 0.55 | MAP: 0.0607 |
| iter: 191/684 | topk: 120 | alpha: 0.6000000000000001 | MAP: 0.0614 |
| iter: 192/684 | topk: 120 | alpha: 0.6500000000000001 | MAP: 0.0622 |
| iter: 193/684 | topk: 120 | alpha: 0.7000000000000001 | MAP: 0.0630 |
| iter: 194/684 | topk: 120 | alpha: 0.7500000000000001 | MAP: 0.0639 |
| iter: 195/684 | topk: 120 | alpha: 0.8 | MAP: 0.0656 |
| iter: 196/684 | topk: 120 | alpha: 0.8500000000000001 | MAP: 0.0678 |
| iter: 197/684 | topk: 120 | alpha: 0.9000000000000001 | MAP: 0.0694 |
| iter: 198/684 | topk: 130 | alpha: 0.05 | MAP: 0.0565 |
| iter: 199/684 | topk: 130 | alpha: 0.1 | MAP: 0.0566 |
| iter: 200/684 | topk: 130 | alpha: 0.15000000000000002 | MAP: 0.0571 |
| iter: 201/684 | topk: 130 | alpha: 0.2 | MAP: 0.0573 |
| iter: 202/684 | topk: 130 | alpha: 0.25 | MAP: 0.0579 |
| iter: 203/684 | topk: 130 | alpha: 0.3 | MAP: 0.0585 |
| iter: 204/684 | topk: 130 | alpha: 0.35000000000000003 | MAP: 0.0590 |
| iter: 205/684 | topk: 130 | alpha: 0.4 | MAP: 0.0596 |
| iter: 206/684 | topk: 130 | alpha: 0.45 | MAP: 0.0603 |
| iter: 207/684 | topk: 130 | alpha: 0.5 | MAP: 0.0606 |
| iter: 208/684 | topk: 130 | alpha: 0.55 | MAP: 0.0612 |
| iter: 209/684 | topk: 130 | alpha: 0.6000000000000001 | MAP: 0.0621 |
| iter: 210/684 | topk: 130 | alpha: 0.6500000000000001 | MAP: 0.0625 |
| iter: 211/684 | topk: 130 | alpha: 0.7000000000000001 | MAP: 0.0632 |
| iter: 212/684 | topk: 130 | alpha: 0.7500000000000001 | MAP: 0.0638 |
| iter: 213/684 | topk: 130 | alpha: 0.8 | MAP: 0.0658 |
| iter: 214/684 | topk: 130 | alpha: 0.8500000000000001 | MAP: 0.0681 |
| iter: 215/684 | topk: 130 | alpha: 0.9000000000000001 | MAP: 0.0694 |
| iter: 216/684 | topk: 140 | alpha: 0.05 | MAP: 0.0567 |
| iter: 217/684 | topk: 140 | alpha: 0.1 | MAP: 0.0569 |
| iter: 218/684 | topk: 140 | alpha: 0.15000000000000002 | MAP: 0.0571 |
| iter: 219/684 | topk: 140 | alpha: 0.2 | MAP: 0.0574 |
| iter: 220/684 | topk: 140 | alpha: 0.25 | MAP: 0.0582 |
| iter: 221/684 | topk: 140 | alpha: 0.3 | MAP: 0.0587 |
| iter: 222/684 | topk: 140 | alpha: 0.35000000000000003 | MAP: 0.0592 |
| iter: 223/684 | topk: 140 | alpha: 0.4 | MAP: 0.0599 |
| iter: 224/684 | topk: 140 | alpha: 0.45 | MAP: 0.0605 |
| iter: 225/684 | topk: 140 | alpha: 0.5 | MAP: 0.0608 |
| iter: 226/684 | topk: 140 | alpha: 0.55 | MAP: 0.0612 |
| iter: 227/684 | topk: 140 | alpha: 0.6000000000000001 | MAP: 0.0617 |
| iter: 228/684 | topk: 140 | alpha: 0.6500000000000001 | MAP: 0.0625 |
| iter: 229/684 | topk: 140 | alpha: 0.7000000000000001 | MAP: 0.0631 |
| iter: 230/684 | topk: 140 | alpha: 0.7500000000000001 | MAP: 0.0639 |
| iter: 231/684 | topk: 140 | alpha: 0.8 | MAP: 0.0658 |
| iter: 232/684 | topk: 140 | alpha: 0.8500000000000001 | MAP: 0.0683 |
| iter: 233/684 | topk: 140 | alpha: 0.9000000000000001 | MAP: 0.0695 |
| iter: 234/684 | topk: 150 | alpha: 0.05 | MAP: 0.0568 |
| iter: 235/684 | topk: 150 | alpha: 0.1 | MAP: 0.0571 |
| iter: 236/684 | topk: 150 | alpha: 0.15000000000000002 | MAP: 0.0574 |
| iter: 237/684 | topk: 150 | alpha: 0.2 | MAP: 0.0575 |
| iter: 238/684 | topk: 150 | alpha: 0.25 | MAP: 0.0584 |
| iter: 239/684 | topk: 150 | alpha: 0.3 | MAP: 0.0589 |
| iter: 240/684 | topk: 150 | alpha: 0.35000000000000003 | MAP: 0.0593 |
| iter: 241/684 | topk: 150 | alpha: 0.4 | MAP: 0.0601 |
| iter: 242/684 | topk: 150 | alpha: 0.45 | MAP: 0.0606 |
| iter: 243/684 | topk: 150 | alpha: 0.5 | MAP: 0.0610 |
| iter: 244/684 | topk: 150 | alpha: 0.55 | MAP: 0.0615 |
| iter: 245/684 | topk: 150 | alpha: 0.6000000000000001 | MAP: 0.0620 |
| iter: 246/684 | topk: 150 | alpha: 0.6500000000000001 | MAP: 0.0625 |
| iter: 247/684 | topk: 150 | alpha: 0.7000000000000001 | MAP: 0.0633 |
| iter: 248/684 | topk: 150 | alpha: 0.7500000000000001 | MAP: 0.0643 |
| iter: 249/684 | topk: 150 | alpha: 0.8 | MAP: 0.0660 |
| iter: 250/684 | topk: 150 | alpha: 0.8500000000000001 | MAP: 0.0684 |
| iter: 251/684 | topk: 150 | alpha: 0.9000000000000001 | MAP: 0.0695 |
| iter: 252/684 | topk: 160 | alpha: 0.05 | MAP: 0.0569 |
| iter: 253/684 | topk: 160 | alpha: 0.1 | MAP: 0.0571 |
| iter: 254/684 | topk: 160 | alpha: 0.15000000000000002 | MAP: 0.0573 |
| iter: 255/684 | topk: 160 | alpha: 0.2 | MAP: 0.0578 |
| iter: 256/684 | topk: 160 | alpha: 0.25 | MAP: 0.0586 |
| iter: 257/684 | topk: 160 | alpha: 0.3 | MAP: 0.0593 |
| iter: 258/684 | topk: 160 | alpha: 0.35000000000000003 | MAP: 0.0597 |
| iter: 259/684 | topk: 160 | alpha: 0.4 | MAP: 0.0605 |
| iter: 260/684 | topk: 160 | alpha: 0.45 | MAP: 0.0609 |
| iter: 261/684 | topk: 160 | alpha: 0.5 | MAP: 0.0611 |
| iter: 262/684 | topk: 160 | alpha: 0.55 | MAP: 0.0617 |
| iter: 263/684 | topk: 160 | alpha: 0.6000000000000001 | MAP: 0.0622 |
| iter: 264/684 | topk: 160 | alpha: 0.6500000000000001 | MAP: 0.0624 |
| iter: 265/684 | topk: 160 | alpha: 0.7000000000000001 | MAP: 0.0634 |
