13-12-2020-12:56:02
|ItemKNNCB| iter: 198/420 | topk: 120 | shrink: 160 | sim type: cosine | MAP: 0.0347 |
|ItemKNNCB| iter: 199/420 | topk: 120 | shrink: 180 | sim type: cosine | MAP: 0.0346 |
|ItemKNNCB| iter: 200/420 | topk: 140 | shrink: 0 | sim type: cosine | MAP: 0.0384 |
|ItemKNNCB| iter: 201/420 | topk: 140 | shrink: 20 | sim type: cosine | MAP: 0.0360 |
|ItemKNNCB| iter: 202/420 | topk: 140 | shrink: 40 | sim type: cosine | MAP: 0.0355 |
|ItemKNNCB| iter: 203/420 | topk: 140 | shrink: 60 | sim type: cosine | MAP: 0.0355 |
|ItemKNNCB| iter: 204/420 | topk: 140 | shrink: 80 | sim type: cosine | MAP: 0.0354 |
|ItemKNNCB| iter: 205/420 | topk: 140 | shrink: 100 | sim type: cosine | MAP: 0.0353 |
|ItemKNNCB| iter: 206/420 | topk: 140 | shrink: 120 | sim type: cosine | MAP: 0.0351 |
|ItemKNNCB| iter: 207/420 | topk: 140 | shrink: 140 | sim type: cosine | MAP: 0.0351 |
|ItemKNNCB| iter: 208/420 | topk: 140 | shrink: 160 | sim type: cosine | MAP: 0.0351 |
